let,num,pref_en,cityname_en,pref_ja,cityname_ja
本,111,miyagi,kesennuma,宮城県,気仙沼市
町,860,osaka,sakai,大阪府,堺市堺区
通,143,niigata,chuo,新潟県,新潟市中央区
潮,3,hokkaido,abashiri,北海道,網走市
田,148,kyoto,kyotanabe,京都府,京田辺市
寛,2,tochigi,utsunomiya,栃木県,宇都宮市
政,5,aichi,tobishima,愛知県,海部郡飛島村
東,194,osaka,sakai,大阪府,堺市堺区
寺,133,kyoto,sakyo,京都府,京都市左京区
尾,174,toyama,toyama,富山県,富山市
台,133,osaka,sakaiminami,大阪府,堺市南区
大,114,saga,saga,佐賀県,佐賀市
岸,16,hokkaido,toyohira,北海道,札幌市豊平区
谷,87,kyoto,kyotanabe,京都府,京田辺市
朝,21,gifu,takayama,岐阜県,高山市
日,126,aichi,kiyosu,愛知県,清須市
鶴,16,ishikawa,hakusan,石川県,白山市
見,25,gifu,gifu,岐阜県,岐阜市
中,155,toyama,toyama,富山県,富山市
央,12,kumamoto,yamaga,熊本県,山鹿市
馬,33,oita,nakatsu,大分県,中津市
場,17,tokushima,awa,徳島県,阿波市
黒,37,yamagata,tsuruoka,山形県,鶴岡市
ふ,2,fukuoka,higashi,福岡県,福岡市東区
頭,7,aomori,tohoku,青森県,上北郡東北町
末,21,hokkaido,asahikawa,北海道,旭川市
広,31,hiroshima,kure,広島県,呉市
扇,4,hokkaido,furano,北海道,富良野市
島,92,okayama,kurashiki,岡山県,倉敷市
安,73,oita,usa,大分県,宇佐市
善,11,fukuoka,kurume,福岡県,久留米市
浜,106,osaka,sakainishi,大阪府,堺市西区
仲,7,nagasaki,iki,長崎県,壱岐市
下,71,miyagi,kami,宮城県,加美郡加美町
野,92,aichi,konan,愛知県,江南市
汐,2,kanagawa,yokosuka,神奈川県,横須賀市
入,10,miyagi,marumori,宮城県,伊具郡丸森町
生,36,gifu,takayama,岐阜県,高山市
麦,7,miyagi,marumori,宮城県,伊具郡丸森町
小,54,fukushima,minamisoma,福島県,南相馬市
弁,20,mie,inabe,三重県,いなべ市
天,49,kyoto,kyotanabe,京都府,京田辺市
駒,19,miyagi,kurihara,宮城県,栗原市
岡,115,fukui,sakai,福井県,坂井市
向,45,kyoto,fushimi,京都府,京都市伏見区
井,49,kyoto,kyotanabe,京都府,京田辺市
栄,15,kyoto,kyotango,京都府,京丹後市
平,67,fukushima,iwaki,福島県,いわき市
市,30,hyogo,tanba,兵庫県,丹波市
富,34,saga,saga,佐賀県,佐賀市
士,24,saga,saga,佐賀県,佐賀市
菅,10,osaka,sakai,大阪府,堺市堺区
沢,119,miyagi,kami,宮城県,加美郡加美町
和,54,hyogo,asago,兵庫県,朝来市
吉,106,miyagi,kesennuma,宮城県,気仙沼市
尻,27,hiroshima,kure,広島県,呉市
手,32,akita,akita,秋田県,秋田市
上,116,kyoto,kita,京都府,京都市北区
西,244,hokkaido,obihiro,北海道,帯広市
元,17,kyoto,kamigyo,京都府,京都市上京区
宮,57,aichi,konan,愛知県,江南市
豊,114,miyagi,tome,宮城県,登米市
諏,20,osaka,sakainishi,大阪府,堺市西区
