name,latitude,longitude
愛知県,あま市
石作,35.206201,136.818714
乙之子,35.178431,136.781950
金岩,35.195534,136.793317
上萱津,35.193350,136.837948
木折,35.193066,136.798532
木田,35.196057,136.784977
北苅,35.193432,136.776135
小橋方,35.180278,136.784798
栄,35.203238,136.837163
坂牧,35.181917,136.828537
七宝町秋竹,35.175425,136.805071
七宝町伊福,35.155610,136.797485
七宝町沖之島,35.189563,136.803583
七宝町桂,35.167977,136.801593
七宝町川部,35.165924,136.791696
七宝町下田,35.172132,136.790515
七宝町下之森,35.152224,136.798156
七宝町鷹居,35.155126,136.786119
七宝町遠島,35.180751,136.802214
七宝町徳実,35.149892,136.795765
七宝町鯰橋,35.154504,136.788901
七宝町安松,35.175576,136.796085
七宝町安松十,35.175360,136.797791
篠田,35.183470,136.790545
下萱津,35.180625,136.842691
甚目寺,35.194593,136.824211
小路,35.206572,136.813777
丹波,35.200297,136.774275
富塚,35.198932,136.805729
中萱津,35.187947,136.837241
中橋,35.204005,136.780900
新居屋,35.197260,136.812408
西今宿,35.200200,136.831606
蜂須賀,35.202906,136.766707
花長,35.199233,136.797995
花正,35.202773,136.788623
東溝口,35.207725,136.781683
二ツ寺,35.204489,136.796950
古道,35.206336,136.805302
方領,35.210412,136.818725
本郷,35.187388,136.826239
森,35.215297,136.820153
森山,35.198316,136.779538
