name,latitude,longitude
愛知県,岩倉市
旭,35.276346,136.871761
石仏,35.293415,136.868208
泉,35.285231,136.868410
稲荷,35.269635,136.870328
稲荷町羽根,35.268172,136.872918
井上,35.299753,136.876574
神野,35.292919,136.873144
川井,35.266676,136.864047
北島,35.272731,136.847989
五条,35.261889,136.876560
西市,35.281412,136.864735
栄,35.279925,136.871260
下本,35.275914,136.876462
昭和,35.273831,136.872004
新柳,35.280228,136.868720
鈴井,35.287767,136.865617
曽野,35.265412,136.877092
大市場,35.274536,136.881861
大山寺,35.262342,136.872657
大山寺本,35.264529,136.874172
大山寺元,35.265577,136.872372
大地新,35.275270,136.868991
大地,35.274644,136.861224
中央,35.277520,136.868892
中野,35.288216,136.870668
中本,35.281755,136.879837
野寄,35.271008,136.855433
東新,35.279708,136.884243
東,35.285428,136.879017
本,35.282866,136.872383
南新,35.270159,136.868186
宮前,35.283497,136.870617
八剱,35.293824,136.879356
