let,num
明,3
知,3
旭,1
朝,1
宮,2
浅,1
山,11
味,4
美,5
上,6
ノ,4
西,6
本,3
白,2
穴,1
橋,1
石,1
尾,2
台,8
稲,1
口,2
杁,1
ケ,3
島,2
岩,2
成,1
野,10
牛,1
内,2
津,2
梅,1
坪,1
王,1
子,2
大,6
手,2
田,9
酉,1
留,1
小,2
木,4
押,1
沢,1
乙,1
輪,1
神,5
屋,5
柏,2
原,4
井,3
春,3
日,2
勝,2
川,3
新,5
金,1
楽,2
菅,1
臣,1
北,1
城,1
附,1
気,1
噴,1
貴,1
船,1
熊,1
黒,1
鉾,1
下,7
条,2
高,6
蔵,1
寺,2
こ,1
と,1
ぶ,1
き,1
坂,1
桜,1
佐,1
篠,2
市,1
場,1
敷,1
十,1
三,1
塚,3
開,1
領,1
関,1
惣,1
中,7
宗,1
法,1
泉,1
鷹,1
来,1
座,2
森,2
玉,2
多,1
央,2
通,4
町,2
追,1
進,1
月,1
見,2
角,1
崎,1
出,1
天,1
外,1
之,1
鳥,1
居,1
松,4
切,1
長,3
如,1
意,1
申,1
廻,1
間,1
八,4
幡,1
光,1
花,2
林,1
東,4
不,2
二,3
ガ,1
丘,1
藤,1
細,2
堀,1
前,1
並,1
瑞,1
穂,1
南,2
濃,1
御,1
幸,1
妙,1
慶,1
桃,1
事,1
和,1
弥,1
生,1
四,1
ツ,1
家,1
六,1
軒,1
若,1
草,1
割,1
河,1
戸,1
愛,1
庄,1
名,1
