let,num
芦,1
辺,1
池,2
花,1
生,1
駒,2
石,1
園,1
大,10
我,1
麻,1
蔵,1
杉,6
曽,2
根,3
野,4
落,1
合,1
御,1
成,3
通,13
尾,1
上,7
織,1
部,1
会,1
所,1
垣,1
戸,1
金,3
田,18
飯,6
北,3
西,4
東,7
南,2
川,2
中,5
喜,3
惣,2
治,2
久,1
手,2
木,1
津,1
桐,1
畑,1
城,5
楠,4
味,5
鋺,5
町,3
字,2
新,4
黒,1
本,3
玄,1
馬,1
紅,2
雲,1
光,2
音,1
寺,3
五,1
反,1
止,1
米,1
が,2
瀬,1
彩,1
橋,1
猿,1
投,1
三,1
軒,1
志,5
賀,5
敷,1
島,1
清,1
水,4
下,1
願,2
見,1
沼,1
堀,1
神,1
明,1
栄,1
村,1
龍,2
ノ,1
口,1
幡,1
稚,1
児,1
宮,1
丸,2
長,3
辻,2
天,1
道,1
憧,1
旛,1
苗,1
切,3
浪,1
打,1
如,2
意,1
来,1
方,1
萩,1
八,2
鳩,2
岡,2
平,3
福,1
徳,1
安,4
真,1
畔,1
桝,1
形,1
草,1
名,1
元,1
代,1
井,2
矢,1
柳,1
原,1
山,4
芳,1
瑠,1
璃,1
六,1
若,2
鶴,1
葉,1
