name,latitude,longitude
愛知県,名古屋市名東区
赤松台,35.182575,136.995211
明が丘,35.183127,137.017782
朝日が丘,35.183028,137.024425
石が根,35.182614,137.011031
猪高台,35.182540,137.005903
猪高町大字猪子石,35.185974,137.007885
猪高町大字上社,35.167386,137.022227
猪高町大字高針,35.145655,137.007354
猪高町大字藤森,35.185665,137.010081
一社,35.166778,136.993918
猪子石,35.185444,136.998950
猪子石原,35.192339,136.989775
植園,35.156293,136.989091
梅森坂,35.146231,137.015967
延珠,35.191337,137.005295
扇,35.156231,136.992949
大針,35.153900,137.020534
香流,35.187924,136.989773
神丘,35.158398,136.998882
神里,35.158642,137.003919
上菅,35.177606,136.995767
上社,35.173751,137.005748
亀の井,35.163170,136.993874
貴船,35.166504,137.008202
小池,35.180122,137.017549
小井堀,35.172547,137.023553
香坂,35.189861,136.989815
香南,35.188828,137.001732
極楽,35.160818,137.020574
桜が丘,35.169374,136.989738
山香,35.151920,136.994327
神月,35.190443,136.993567
新宿,35.151820,137.013033
勢子坊,35.161552,137.012754
代万,35.159018,136.993230
高針,35.156755,137.005800
高針荒田,35.148584,136.992260
高針台,35.157845,137.014284
高針原,35.147316,136.994497
高間,35.160865,137.001079
高社,35.169245,136.993305
高柳,35.183374,137.014521
宝が丘,35.177697,137.022571
丁田,35.177061,137.004530
つつじが丘,35.181590,136.991777
照が丘,35.178655,137.025399
天神下,35.195097,136.988808
天白町大字植田,35.140590,137.009807
富が丘,35.186687,137.020095
にじが丘,35.159133,136.989056
西里,35.156290,136.996126
西山台,35.152726,136.999232
西山本通,35.158988,136.992279
望が丘,35.177019,137.020190
野間,35.159540,137.006701
八前,35.183007,136.986712
引山,35.190353,136.997092
姫若,35.173253,137.018730
藤が丘,35.183502,137.020868
藤香,35.189800,137.018731
藤里,35.189507,137.014558
藤巻,35.150758,136.985906
藤見が丘,35.180515,137.021470
藤森,35.179152,137.007654
藤森西,35.187218,137.010999
文教台,35.182893,136.999178
平和が丘,35.177913,136.982535
本郷,35.179975,137.014362
牧の里,35.154804,137.005142
牧の原,35.152579,137.001523
松井,35.153470,137.014327
名東本通,35.160842,136.989139
名東本,35.162632,136.990969
社が丘,35.173081,137.014302
社口,35.176752,136.998256
社台,35.172710,136.993851
山の手,35.184587,136.988633
豊が丘,35.186969,137.014364
よもぎ台,35.178155,136.989200
陸前,35.162476,137.008738
若葉台,35.179582,136.993416
