name,latitude,longitude
愛知県,名古屋市港区
秋葉,35.109288,136.820807
熱田前新田,35.100251,136.878571
油屋,35.105413,136.851097
惟信,35.107366,136.844074
一州,35.089510,136.867146
稲永,35.089795,136.861187
稲永新田,35.085323,136.866487
入場,35.111873,136.854208
入場,35.113071,136.857567
入船,35.092968,136.885794
いろは,35.106504,136.873331
遠若,35.098889,136.865918
小碓,35.119495,136.853550
小碓,35.115494,136.837532
大江,35.088979,136.895428
大手,35.098273,136.869781
大西,35.108484,136.815143
小川,35.097740,136.817201
金川,35.110344,136.879368
金船,35.112099,136.875796
河口,35.105659,136.879017
川園,35.102790,136.819534
川西通,35.113686,136.874169
川間,35.116083,136.867945
寛政,35.109309,136.856218
木場,35.103907,136.898925
金城ふ頭,35.054092,136.844056
九番,35.117827,136.884244
港栄,35.106397,136.882841
港北,35.108481,136.860994
港明,35.108838,136.888451
港陽,35.102035,136.888249
港楽,35.105708,136.886943
小賀須,35.114452,136.831851
小割通,35.117365,136.869113
幸,35.099266,136.873877
魁,35.096882,136.873080
作倉,35.101675,136.892984
佐野,35.098215,136.873078
汐止,35.071566,136.851462
潮凪,35.077386,136.859437
潮見,35.060693,136.873987
七条,35.095429,136.900640
七反野,35.114199,136.820122
七番,35.117823,136.887709
品川,35.103231,136.864922
十一屋,35.096399,136.863082
十一屋,35.097280,136.848462
正徳,35.121207,136.862618
正保,35.117763,136.863178
昭和,35.080808,136.897068
新川,35.117777,136.877866
神宮寺,35.095905,136.849066
新茶屋,35.109260,136.807874
新船,35.117747,136.875912
甚兵衛通,35.105953,136.846446
砂美,35.104204,136.868045
須成,35.117533,136.873757
善進,35.104775,136.854733
善進本,35.100824,136.855972
船頭場,35.119346,136.829784
善南,35.098163,136.852041
善北,35.104093,136.855984
空見,35.063318,136.852170
泰明,35.111266,136.867031
高木,35.105702,136.848435
多加良浦,35.107710,136.840325
辰巳,35.111963,136.890046
築盛,35.104475,136.871302
知多,35.114046,136.824332
千年,35.112515,136.898245
千鳥,35.097725,136.889276
津金,35.112704,136.884151
築三,35.095201,136.875539
築地,35.090642,136.872756
寺前,35.113295,136.800540
天目,35.098714,136.801194
東海通,35.113417,136.887524
当知,35.112211,136.849111
当知,35.099155,136.840606
土古,35.112747,136.861151
中川本,35.107033,136.876144
中之島通,35.098660,136.870855
七島,35.104353,136.833873
南陽町大字茶屋新田,35.105689,136.816403
南陽町大字七島新田,35.100641,136.837166
南陽町大字福田,35.116128,136.833311
南陽町大字藤高新田,35.094233,136.836968
西蟹田,35.122280,136.816232
西川,35.107978,136.841519
錦,35.086530,136.861040
西倉,35.095065,136.878146
西茶屋,35.107776,136.825208
西福田,35.121529,136.811301
野跡,35.081171,136.855160
八百島,35.117708,136.822176
浜,35.097760,136.881341
春田野,35.117992,136.813905
東蟹田,35.122291,136.820287
東茶屋,35.108749,136.830492
東築地,35.095011,136.893259
東土古,35.112923,136.871754
福田,35.117566,136.824499
福屋,35.119990,136.800809
藤高,35.096933,136.834218
藤前,35.087751,136.836561
船見,35.072043,136.895834
宝神,35.094340,136.851188
宝神,35.096370,136.843086
本宮新,35.107487,136.867617
本宮,35.112029,136.873925
丸池,35.117482,136.871105
港,35.090505,136.884416
南十一番,35.117822,136.879892
南十番,35.117826,136.881821
名港,35.098011,136.884301
名四,35.099398,136.868784
明正,35.116281,136.844197
本星崎,35.087056,136.907416
龍宮,35.095003,136.898056
協和,35.119497,136.797062
畑中,35.119240,136.794059
六軒家,35.114059,136.796344
福前,35.111463,136.795850
南陽町大字福田前新田,35.104141,136.798868
