let,num
吉,29
良,26
町,46
饗,1
庭,1
葵,1
一,23
色,23
赤,1
羽,6
味,2
浜,2
吾,1
妻,1
生,3
田,23
池,6
和,3
泉,1
市,1
子,1
伊,3
藤,4
文,1
今,1
川,5
鵜,1
ケ,6
永,6
楽,1
家,3
武,1
江,2
原,6
大,4
島,9
塚,3
岡,2
山,8
給,1
荻,1
奥,3
小,8
栗,1
乙,1
尾,1
花,3
間,2
開,1
正,1
会,1
貝,1
吹,1
鎌,1
谷,2
神,2
下,8
上,6
道,4
目,2
記,2
角,2
矢,5
横,3
須,4
賀,2
亀,1
沢,2
刈,1
宿,1
口,2
瓦,1
木,4
北,1
旭,2
行,1
用,1
錦,1
城,3
楠,1
村,2
国,2
森,1
熊,1
蔵,1
寺,8
牧,1
駒,1
場,5
巨,1
海,2
米,3
野,8
焼,1
薮,1
斉,1
幸,1
酒,2
井,3
坂,3
新,9
手,2
肴,1
佐,1
久,1
桜,2
笹,1
曽,3
根,5
塩,1
志,2
貴,1
籠,1
治,1
明,2
十,1
郎,2
順,1
白,1
崎,7
在,2
渡,2
屋,1
敷,1
末,1
広,1
菅,1
住,4
脇,1
瀬,1
戸,3
千,2
善,1
惣,1
五,1
高,4
落,1
河,1
砂,1
畠,1
宅,1
竹,2
貫,2
歳,1
丁,1
対,1
つ,1
く,1
し,1
が,1
丘,1
津,4
平,5
鶴,3
舞,1
嶋,1
部,1
天,3
王,1
光,3
徳,2
次,1
鳥,1
富,4
好,1
友,1
中,8
外,1
長,1
縄,1
畑,2
熱,1
西,5
浅,2
梛,1
幡,3
豆,2
々,1
宮,4
八,3
尻,1
ノ,2
馬,2
針,1
東,2
菱,1
深,1
法,1
細,2
本,1
前,1
駮,1
松,2
満,1
全,1
緑,1
港,1
南,3
迫,1
室,1
ツ,1
面,1
弥,1
養,1
寄,2
近,1
若,1
気,1
