name,latitude,longitude
愛知県,北設楽郡設楽町
荒尾,35.083637,137.587612
大名倉,35.112110,137.542906
神田,35.065778,137.611139
川合,35.038195,137.606529
川向,35.119354,137.561893
清崎,35.074020,137.573166
小松,35.106776,137.585537
田口,35.099103,137.572286
田内,35.076874,137.545198
田峯,35.104392,137.482890
津具,35.177736,137.621307
豊邦,35.070377,137.470528
長江,35.112138,137.597877
西納庫,35.173321,137.525017
東納庫,35.144331,137.550828
平山,35.087747,137.612329
松戸,35.094086,137.549456
三都橋,35.063828,137.515034
八橋,35.136228,137.597174
和市,35.096322,137.599065
