let,num
曙,1
阿,1
由,1
知,1
通,12
荒,1
田,5
伊,1
勝,1
池,3
端,1
石,1
仏,1
永,1
金,2
恵,1
方,2
円,1
上,4
折,1
戸,3
神,2
村,2
山,13
川,5
名,3
本,4
原,3
菊,1
園,2
北,2
車,1
紅,1
梅,1
御,3
器,3
所,3
五,1
軒,1
家,1
小,2
坂,1
桜,2
駒,1
塩,1
付,1
汐,1
見,6
下,1
構,1
白,1
台,1
面,1
高,2
辻,1
峯,1
滝,3
子,2
檀,1
溪,1
鶴,3
羽,1
舞,2
出,1
口,1
天,1
東,3
郊,1
陶,1
生,1
畑,2
長,2
西,1
萩,1
狭,1
間,1
花,2
隼,1
人,1
広,6
路,3
瀬,1
吹,2
福,2
江,1
藤,1
成,1
前,1
松,1
風,1
丸,1
屋,1
緑,1
南,2
分,1
宮,2
妙,1
向,1
雲,2
明,1
月,1
元,1
八,3
事,2
富,1
士,1
安,1
里,1
大,1
和,1
中,1
手,1
脇,1
雪,1
楽,1
若,1
柳,1
