let,num
赤,4
坂,3
台,1
代,2
明,3
野,10
曙,2
旭,1
足,1
山,5
田,7
麻,1
生,2
市,1
一,1
宮,2
伊,1
奈,2
稲,1
荷,1
通,13
院,1
之,1
子,4
上,5
牛,2
久,4
保,3
駅,2
前,2
江,1
島,2
大,7
木,8
崎,2
橋,3
堀,1
小,3
渕,1
開,1
運,1
金,8
沢,3
塚,2
屋,5
西,12
本,4
元,2
長,4
川,10
花,2
北,1
浦,1
行,1
光,4
輝,1
柑,1
国,2
府,2
南,3
陽,1
井,4
桜,7
寿,1
御,17
油,1
財,1
賀,1
幸,3
堺,1
ケ,2
丘,2
佐,5
土,2
三,3
蔵,2
篠,2
束,1
下,3
宿,3
白,3
雲,1
鳥,2
新,9
青,1
馬,3
栄,3
町,16
道,2
豊,12
末,1
広,2
住,1
吉,1
諏,2
訪,2
瀬,1
高,1
見,2
為,1
当,2
樽,1
千,3
両,2
歳,1
中,4
央,1
条,1
部,1
天,1
神,1
東,7
古,2
塔,1
ノ,3
名,1
筒,1
仲,1
津,15
草,2
口,2
香,1
原,6
萩,2
尾,2
場,1
平,2
二,2
葉,1
穂,1
牧,1
正,1
岡,1
松,3
風,1
美,3
園,1
根,1
安,1
礼,1
の,1
脇,3
浜,2
泙,1
方,1
石,1
緑,1
谷,3
和,1
向,1
河,1
森,1
門,1
弥,1
八,1
幡,1
が,1
四,1
ツ,1
六,1
角,1
若,2
鳩,1
