let,num
旭,11
川,41
清,2
澄,1
新,65
藤,3
田,51
西,5
東,15
南,18
屋,37
朝,1
日,2
大,17
扇,1
沖,1
表,1
勝,2
平,13
台,5
北,27
浜,12
栗,1
寿,1
下,31
原,2
渋,1
谷,3
高,7
美,6
尻,11
沢,13
中,17
天,1
秤,1
野,40
鳥,2
木,3
比,1
内,17
吉,3
船,1
場,4
前,2
松,11
ガ,4
丘,7
元,8
豊,6
割,1
山,44
飯,18
島,25
端,1
穀,3
丁,5
長,7
上,22
本,6
袋,1
鼠,1
文,1
京,1
根,5
砂,2
道,3
緑,2
泉,9
一,1
ノ,7
坪,1
釜,1
菅,1
央,2
馬,1
三,3
嶽,1
牛,2
住,2
御,10
卸,1
金,14
足,12
岩,6
瀬,2
浦,1
追,1
分,1
水,1
片,1
黒,4
小,12
刈,1
岡,4
鳰,1
崎,13
堀,1
手,32
荒,1
巻,2
杉,1
戸,14
所,6
古,3
猿,1
百,1
城,20
石,4
名,2
坂,2
又,1
五,3
十,2
白,1
保,13
多,1
湯,2
里,1
休,2
総,1
社,1
み,4
よ,1
し,1
若,1
葉,1
河,14
辺,14
赤,1
見,2
張,1
神,3
成,1
畑,3
渕,1
諸,1
井,12
和,23
開,1
む,1
つ,1
栄,3
寺,14
錦,1
港,9
陽,2
青,3
柳,4
幸,1
地,3
蔵,2
堤,2
桜,6
王,6
園,4
沼,3
臨,1
海,1
寒,1
宝,1
通,12
梨,1
館,2
友,1
笠,1
桂,2
楢,20
八,17
羽,1
ケ,4
将,5
軍,5
堰,1
越,2
向,4
千,8
秋,7
の,4
丸,1
久,1
公,2
明,2
徳,1
矢,1
留,1
添,1
外,3
幡,1
太,7
庭,1
関,1
目,2
土,7
相,2
染,1
形,13
学,1
か,1
ら,1
で,1
ん,1
油,1
後,1
鵜,1
路,1
敷,1
児,1
堂,1
蛭,1
焼,1
愛,1
宕,1
塚,1
口,1
境,1
共,1
照,1
佐,1
竹,1
登,1
町,4
仁,12
潟,1
蕗,1
福,1
二,1
ツ,4
濁,1
別,1
茨,1
観,1
音,1
仲,1
広,1
面,1
蛇,1
す,1
わ,1
代,1
鉄,1
砲,1
亀,1
築,1
そ,1
宮,1
橋,11
イ,1
サ,1
運,1
動,1
郎,1
鯲,1
雄,19
波,1
碇,1
萱,1
左,1
子,1
芝,1
村,1
草,1
種,1
繋,1
椿,1
賀,1
尾,1
妙,1
法,1
女,1
米,1
横,1
森,1
四,3
阿,1
末,1
