name,latitude,longitude
秋田県,北秋田市
旭,40.227134,140.373386
阿仁荒瀬,39.965227,140.375467
阿仁荒瀬川櫃畑,39.970846,140.442160
阿仁一ノ又鉱山,39.991073,140.475324
阿仁打当,39.929656,140.586687
阿仁笑内,39.932213,140.414818
阿仁萱草,39.949768,140.427365
阿仁銀山,39.992219,140.398303
阿仁幸屋,39.924584,140.451877
阿仁幸屋渡,39.897397,140.405984
阿仁小様,40.002480,140.447111
阿仁小沢鉱山,39.979737,140.417715
阿仁小渕,40.027734,140.403218
阿仁三枚鉱山,40.011395,140.427847
阿仁戸鳥内,39.928603,140.498062
阿仁長畑,39.882002,140.491051
阿仁中村,39.945518,140.542345
阿仁根子,39.930097,140.382359
阿仁比立内,39.852402,140.449391
阿仁伏影,39.940312,140.417801
阿仁前田,40.065549,140.396907
阿仁真木沢鉱山,40.007080,140.414168
阿仁水無,40.010284,140.392806
阿仁吉田,40.028826,140.378735
伊勢,40.224495,140.377804
今泉,40.224335,140.295744
浦田,40.103326,140.399389
大,40.225139,140.364965
桂瀬,40.091869,140.419494
鎌沢,40.095811,140.314160
上杉,40.154249,140.365599
川井,40.166223,140.321933
木戸石,40.179551,140.299759
黒沢,40.250864,140.313083
小又,40.058136,140.444606
五味堀,40.046567,140.406957
小森,40.181931,140.450273
根田,40.139252,140.317129
材木,40.231281,140.372362
栄,40.226846,140.423025
下杉,40.162107,140.345238
住吉,40.227861,140.367784
李岱,40.154088,140.308984
芹沢,40.130436,140.319264
鷹巣,40.221387,140.364592
綴子,40.293036,140.361431
道城,40.138360,140.357422
中屋敷,40.181559,140.383950
七日市,40.127107,140.508981
新田目,40.144708,140.325185
根森田,40.036624,140.436717
八幡岱新田,40.169452,140.304729
花園,40.227362,140.370692
羽根山,40.145716,140.286920
東横,40.224540,140.370003
福田,40.151476,140.317214
坊沢,40.220132,140.336213
本城,40.123782,140.348750
前山,40.222735,140.319261
増沢,40.187855,140.286644
松葉,40.230528,140.367586
三木田,40.109206,140.300950
三里,40.121043,140.292733
宮前,40.223667,140.373175
元,40.229001,140.364193
森吉,40.012099,140.593420
米内沢,40.137997,140.392645
米代,40.224717,140.367500
脇神,40.202565,140.374503
