name,latitude,longitude
秋田県,仙北郡美郷町
安城寺,39.444077,140.553514
飯詰,39.378885,140.535806
金沢,39.391443,140.581544
金沢西根,39.377931,140.516161
金沢東根,39.432426,140.627276
上深井,39.409085,140.513640
黒沢,39.484476,140.647686
小荒川,39.455616,140.574439
境田,39.399072,140.544472
佐野,39.403716,140.531339
千屋,39.450453,140.596294
土崎,39.461184,140.572150
天神堂,39.407731,140.548445
中野,39.444916,140.566761
浪花,39.468564,140.651672
野荒,39.399073,140.560181
野中,39.422878,140.561381
畑屋,39.439070,140.546778
羽貫谷地,39.435534,140.529512
南,39.413062,140.528175
鑓田,39.432961,140.546156
六郷,39.421340,140.537548
六郷東根,39.399421,140.630235
本堂城回,39.478661,140.580587
