let,num
赤,5
田,24
沼,5
下,15
道,5
芦,1
川,18
鮎,2
瀬,3
荒,2
蟻,1
山,8
飯,1
沢,24
五,1
十,2
土,3
石,3
脇,3
和,1
泉,2
一,1
番,2
堰,3
井,1
戸,4
尻,1
岩,23
城,20
平,3
内,10
勝,1
手,1
上,10
黒,5
蛇,2
亀,5
愛,1
宕,1
大,15
最,1
君,1
ヶ,5
野,8
滝,3
俣,3
冨,1
福,4
二,3
古,3
六,2
呂,1
目,7
渕,2
谷,10
麓,1
牛,1
寺,3
後,2
越,2
埋,1
裏,2
尾,4
崎,5
円,1
正,1
三,3
倉,4
鍬,1
堤,2
中,12
ノ,7
水,2
口,3
簗,1
浦,1
桶,1
屋,1
表,1
親,1
加,1
賀,1
鍛,1
冶,1
片,1
蟹,1
金,1
烏,1
西,9
瓦,1
地,6
観,1
音,1
北,4
股,2
狐,1
森,4
給,1
人,3
切,1
通,1
葛,2
岡,2
法,2
久,1
保,1
小,8
栗,2
菅,1
防,1
御,1
門,2
今,1
肴,1
桜,1
路,2
笹,3
砂,2
糖,1
畑,3
条,2
原,1
島,14
新,5
陳,2
ケ,1
組,2
神,2
場,3
岱,1
巣,1
子,4
千,1
刈,1
雪,2
車,1
高,1
館,3
前,2
玉,1
池,1
鳥,14
海,14
町,30
直,3
根,3
才,1
猿,1
伏,1
見,1
百,1
宅,1
調,1
練,1
鶴,1
出,3
徳,1
木,2
長,1
坂,3
代,2
竪,1
帳,1
梵,4
天,4
士,1
剥,1
濡,1
浜,3
及,1
位,1
八,1
幡,1
花,1
羽,1
広,1
東,12
由,8
利,8
老,1
方,1
蔵,1
宿,1
杉,1
舘,2
合,1
日,2
役,1
岫,1
深,1
藤,1
船,2
台,1
不,1
戻,1
端,1
本,4
荘,2
仲,1
郷,1
曲,1
村,1
松,3
街,1
万,1
願,1
美,1
林,1
南,2
宮,2
柳,1
生,1
薬,1
師,2
堂,1
矢,13
辺,1
在,1
之,1
立,1
七,1
元,1
湯,1
吉,1
米,1
猟,1
