name,latitude,longitude
青森県,南津軽郡藤崎町
柏木堰,40.693127,140.513657
亀岡,40.691783,140.494718
久井名舘,40.693778,140.533330
葛野,40.662351,140.502059
郷山前,40.717804,140.526649
小畑,40.661883,140.520014
五林,40.679391,140.491223
榊,40.669079,140.529346
下俵舛,40.703041,140.504772
俵舛,40.696921,140.504846
常盤,40.667073,140.545379
富柳,40.700184,140.534361
中島,40.673946,140.519577
中野目,40.683078,140.503896
西豊田,40.655928,140.501966
西中野目,40.694275,140.500068
林崎,40.674639,140.484056
福舘,40.710014,140.529678
藤越,40.650926,140.515729
藤崎,40.658020,140.481122
増館,40.673823,140.548238
水木,40.683245,140.531128
水沼,40.669457,140.504142
矢沢,40.671986,140.513321
吉野田,40.716396,140.528045
吉向,40.687166,140.503780
若松,40.664520,140.537618
徳下,40.666596,140.555640
福島,40.679981,140.566899
三ツ屋,40.671150,140.564956
