name,latitude,longitude
青森県,東津軽郡平内町
浅所,40.948022,140.964823
小豆沢,40.934662,140.902069
稲生,40.981938,140.873403
内童子,40.871370,140.955011
狩場沢,40.877250,141.032950
口広,40.895401,141.028236
小湊,40.916126,140.962441
清水川,40.924903,141.012198
白砂,40.976236,140.941566
外童子,40.849438,140.990637
田茂木,40.873927,140.925974
中野,40.924383,140.884375
浪打,40.922782,140.871581
沼館,40.928963,140.977523
浜子,40.927611,140.991810
東田沢,40.980560,140.903816
福島,40.941817,140.944432
福館,40.953274,140.937371
藤沢,40.912631,140.930522
増田,40.887811,140.899238
松野木,40.902883,141.002928
茂浦,40.958257,140.872854
盛田,40.936723,140.935247
薬師野,40.916079,141.015363
山口,40.906541,140.905616
東滝,40.957533,140.970646
土屋,40.904516,140.882046
