let,num
藍,1
内,4
青,3
樹,2
女,1
子,2
山,7
茜,1
悪,1
戸,1
旭,1
ケ,12
丘,5
愛,1
宕,1
新,10
石,5
川,11
渡,2
泉,2
野,15
一,3
番,2
町,7
田,24
稲,2
岩,1
賀,3
植,1
駅,2
前,3
狼,1
森,9
扇,1
大,15
浦,1
久,1
保,1
沢,11
清,7
水,6
助,1
富,10
原,8
開,1
和,7
徒,2
端,3
桶,1
屋,5
小,8
友,1
鬼,1
表,1
親,1
方,1
折,1
笠,1
貝,1
学,1
園,4
覚,1
仙,1
鍛,2
冶,2
春,1
日,1
堅,1
門,1
外,4
兼,1
平,5
上,4
瓦,4
鞘,2
師,5
白,2
銀,2
紙,2
漉,2
亀,1
甲,1
萱,1
合,1
先,1
河,1
寒,1
神,1
桔,1
梗,1
北,8
寺,6
柳,2
横,3
金,2
属,1
葛,1
国,1
吉,4
熊,1
嶋,1
蔵,1
主,1
黒,2
滝,1
土,4
楮,1
高,6
崎,5
栗,1
五,3
十,3
所,2
代,5
人,1
駒,2
越,4
紺,1
在,2
府,1
境,1
関,1
坂,6
市,2
栄,2
元,7
本,2
相,2
良,1
桜,3
庭,1
林,1
笹,2
舘,2
三,3
世,1
王,1
比,1
塩,1
分,1
茂,4
品,1
下,4
湯,2
口,5
自,1
由,1
木,5
城,5
東,6
中,7
央,1
割,1
法,1
末,1
広,2
昴,1
住,1
袋,4
馬,3
官,1
岡,3
鷹,1
匠,1
杉,1
龍,1
ノ,1
館,3
後,1
種,1
俵,1
千,1
年,1
茶,1
畑,2
津,1
堂,3
鉄,1
砲,1
藤,4
銅,1
常,2
盤,2
徳,3
腰,1
独,1
狐,1
面,1
手,1
瀬,3
豊,2
取,1
鳥,1
井,2
撫,1
牛,1
長,3
別,1
楢,1
南,9
塘,1
里,1
西,7
岸,1
工,2
乳,1
如,1
来,1
糠,1
坪,1
祢,1
宜,1
喰,1
八,3
幡,2
鼻,1
浜,1
の,3
樋,2
百,4
路,2
福,2
村,1
士,2
見,2
台,1
船,1
文,1
京,1
細,1
堀,1
蒔,1
苗,1
松,4
枝,1
真,1
家,1
岳,1
緑,2
稔,1
宮,4
地,1
御,1
幸,1
向,1
薬,2
安,1
萢,1
道,1
弥,1
生,1
米,1
若,2
党,1
葉,1
早,1
