name,latitude,longitude
青森県,三戸郡南部町
相内,40.443165,141.292302
赤石,40.405513,141.297487
大向,40.397098,141.286538
沖田面,40.420063,141.282471
片岸,40.469485,141.362834
椛木,40.444508,141.440046
上名久井,40.408635,141.327734
剣吉,40.449416,141.322647
小泉,40.475270,141.395931
埖渡,40.443518,141.399486
小向,40.417875,141.252410
下名久井,40.417780,141.373926
杉沢,40.444524,141.419034
平,40.405880,141.342177
高瀬,40.402356,141.317189
高橋,40.476004,141.390181
玉掛,40.419101,141.297058
鳥舌内,40.376761,141.337118
斗賀,40.467493,141.341458
苫米地,40.476718,141.374116
鳥谷,40.355651,141.368563
虎渡,40.433287,141.324374
福田,40.445985,141.376928
法光寺,40.389510,141.332941
法師岡,40.464760,141.412787
麦沢,40.494189,141.371964
森越,40.437272,141.358358
