name,latitude,longitude
千葉県,我孫子市
相島,35.849624,140.121055
相島新田,35.845951,140.119869
青山,35.886075,140.056753
青山台,35.880448,140.046621
我孫子,35.876647,140.025943
我孫子新田,35.865084,140.011099
新木,35.867605,140.101009
新木野,35.865687,140.106413
新木村下,35.858377,140.097955
泉,35.870586,140.031388
都部,35.863845,140.061069
都部新田,35.858887,140.069413
都部村新田,35.858973,140.062347
江蔵地,35.868984,140.120579
大作新田,35.855984,140.112663
岡発戸,35.866994,140.054336
岡発戸新田,35.856636,140.053275
上沼田,35.855646,140.070983
久寺家,35.883882,140.018794
高野山,35.864765,140.034297
高野山新田,35.859796,140.035339
寿,35.870389,140.018793
湖北台,35.867303,140.063320
栄,35.871640,140.025387
下ケ戸,35.873334,140.053869
柴崎,35.877203,140.034189
柴崎台,35.873519,140.040275
下沼田,35.852099,140.106138
新々田,35.845812,140.131970
浅間前,35.853290,140.115493
浅間前新田,35.855923,140.118451
台田,35.873812,140.002154
つくし野,35.884327,140.004191
天王台,35.871106,140.041078
中里,35.864358,140.083177
中里新田,35.858255,140.077720
中沼田,35.854913,140.090776
中峠,35.878183,140.093039
中峠台,35.870686,140.071642
中峠村下,35.857654,140.072627
並木,35.875062,140.016466
根戸,35.880877,140.001339
根戸新田,35.868007,140.000087
白山,35.868304,140.010601
東我孫子,35.867234,140.046644
日の出,35.880308,140.055948
日秀,35.863458,140.089165
日秀新田,35.858552,140.090233
布佐,35.853093,140.135887
布佐下新田,35.852736,140.123617
布佐酉,35.845443,140.138734
布佐平和台,35.850546,140.131874
布施,35.888980,140.015831
布施下,35.893482,140.016544
船戸,35.870363,140.001541
古戸,35.871699,140.094617
本,35.871990,140.008000
三河屋新田,35.850302,140.127628
緑,35.868625,140.013737
南青山,35.881596,140.046854
南新木,35.860158,140.109297
都,35.848594,140.140857
呼塚新田,35.870099,139.992544
若松,35.863966,140.020976
弁天下,35.897921,140.030200
北新田,35.889567,140.041357
