name,latitude,longitude
千葉県,旭市
秋田,35.742174,140.577828
足川,35.698770,140.657749
イ,35.723258,140.668643
飯岡,35.700680,140.728489
幾世,35.770746,140.680758
泉川,35.700542,140.609252
井戸野,35.708903,140.622592
入野,35.757650,140.637255
岩井,35.760400,140.700949
岩崎,35.716493,140.712648
後草,35.727450,140.682355
江ケ崎,35.734105,140.659960
大久保,35.782921,140.648846
大塚原,35.693818,140.609115
大間手,35.742700,140.691106
鏑木,35.764378,140.588753
鎌数,35.734168,140.626961
上永井,35.698531,140.748913
川口,35.711773,140.595090
神田,35.784319,140.639607
行内,35.703935,140.723019
清滝,35.756387,140.674087
倉橋,35.741165,140.716453
琴田,35.747620,140.656612
駒込,35.699923,140.615402
権田沼新田,35.716550,140.683245
櫻井,35.780336,140.646575
さくら台,35.777146,140.639329
三川,35.714862,140.698989
椎名内,35.702268,140.666976
下永井,35.693976,140.729284
神宮寺,35.688817,140.623012
新,35.750196,140.632157
清和乙,35.774280,140.615925
清和甲,35.773971,140.625924
関戸,35.770493,140.638705
関戸下,35.764505,140.640064
高生,35.741133,140.679129
東和田,35.784680,140.645160
長尾,35.735585,140.693267
長部,35.781869,140.623748
中谷里,35.696328,140.642229
ニ,35.720513,140.629849
西足洗,35.711510,140.667174
仁玉,35.705635,140.633882
野中,35.703051,140.678681
ハ,35.711558,140.651230
萩園,35.706590,140.712305
塙,35.718834,140.728805
東足洗,35.712687,140.677327
平松,35.705360,140.720779
舟戸,35.773093,140.641470
蛇園,35.729107,140.698782
松ケ谷,35.773042,140.693941
萬歳,35.774137,140.652880
萬力,35.750644,140.594947
溝原,35.782076,140.633741
南堀之内,35.767504,140.611659
見広,35.745669,140.699079
狢野,35.730628,140.730318
八木,35.703922,140.735318
横根,35.715085,140.716199
米込,35.754463,140.615089
ロ,35.720307,140.652857
清和,35.774280,140.615925
