let,num
相,2
川,4
野,4
谷,4
青,1
木,1
新,3
井,4
一,1
色,1
不,1
入,1
斗,1
岩,3
坂,1
瀬,1
本,2
上,3
後,1
宇,1
藤,3
原,4
売,1
津,2
大,6
崎,2
田,9
和,4
堀,1
森,1
押,1
切,1
恩,1
海,1
良,1
数,1
馬,1
加,1
金,1
飯,2
亀,2
沢,2
名,1
絹,1
小,2
久,2
保,2
志,2
駒,2
近,1
桜,2
総,1
稱,1
鬼,1
泪,1
山,4
笹,1
毛,1
佐,1
貫,1
更,1
篠,1
部,1
下,1
障,1
子,1
富,2
関,2
尻,1
台,1
高,1
溝,1
倉,1
竹,1
岡,3
千,1
種,1
鶴,1
寺,2
尾,1
豊,1
中,2
長,1
梨,1
西,2
萩,1
生,1
花,2
香,1
輪,1
東,1
二,1
間,1
塚,1
宝,1
竜,1
郷,1
前,1
湊,1
御,1
代,1
六,1
望,1
八,2
沼,1
幡,1
脇,1
横,1
