name,latitude,longitude
千葉県,千葉市花見川区
朝日ケ丘,35.657353,140.091029
朝日ケ丘,35.659133,140.075088
天戸,35.679437,140.090444
内山,35.694142,140.131281
宇那谷,35.685246,140.136960
柏井,35.693576,140.095232
柏井,35.693982,140.106096
検見川,35.653200,140.065796
こてはし台,35.684807,140.124751
犢橋,35.671512,140.103499
作新台,35.690921,140.090681
さつきが丘,35.664710,140.097179
三角,35.676193,140.119632
大日,35.681758,140.131839
武石,35.668249,140.064907
千種,35.679078,140.113948
長作台,35.682049,140.081176
長作,35.680375,140.076637
浪花,35.657246,140.066090
西小中台,35.651875,140.086981
畑,35.665988,140.081175
花島,35.683415,140.099391
花園,35.652780,140.074943
花園,35.654927,140.078421
花見川,35.689349,140.097052
幕張,35.661520,140.047314
幕張本郷,35.671358,140.038834
瑞穂,35.665484,140.069749
南花園,35.650172,140.077982
み春野,35.691966,140.137438
宮野木台,35.654079,140.090495
横戸台,35.698163,140.113465
横戸,35.700176,140.118907
