name,latitude,longitude
千葉県,市川市
相之川,35.680621,139.895378
新井,35.675498,139.892156
伊勢宿,35.687896,139.915226
市川,35.731849,139.909029
稲越,35.756186,139.926708
入船,35.678947,139.921396
大洲,35.718683,139.911389
大野,35.747204,139.945233
大,35.767141,139.958499
大和田,35.71543,139.919443
押切,35.686608,139.9132
鬼越,35.71909,139.938432
鬼高,35.714387,139.933992
欠真間,35.680586,139.902087
柏井,35.73751,139.967878
加藤新田,35.677885,139.931025
上妙典,35.685218,139.943743
河原,35.702421,139.92109
香取,35.681955,139.905499
北方,35.721597,139.938687
北国分,35.75888,139.905203
行徳駅前,35.68342,139.916283
国府台,35.744808,139.907123
高谷,35.690557,139.943142
高谷新,35.6803,139.951373
国分,35.741436,139.919364
幸,35.680825,139.929272
塩浜,35.669654,139.939168
塩焼,35.688806,139.928892
島尻,35.673449,139.887062
下貝塚,35.742475,139.940474
下新宿,35.697417,139.921029
下妙典,35.687488,139.937077
新田,35.728004,139.915738
末広,35.685674,139.918423
菅野,35.727842,139.925937
須和田,35.737023,139.921442
関ケ島,35.689215,139.916065
曽谷,35.742486,139.935872
高石神,35.717906,139.942012
高浜,35.675667,139.93408
宝,35.683082,139.92676
田尻,35.686929,139.945616
千鳥,35.673892,139.928276
稲荷木,35.711679,139.923004
富浜,35.691433,139.924751
中国分,35.752444,139.915692
中山,35.722517,139.945934
新浜,35.675554,139.917803
原木,35.693063,139.951719
東大和田,35.714357,139.925595
東国分,35.741143,139.922776
東菅野,35.728285,139.930899
東浜,35.675952,139.961049
日之出,35.676464,139.923304
平田,35.724958,139.923183
広尾,35.677579,139.892108
福栄,35.676351,139.908815
二俣,35.69676,139.958542
二俣新,35.685084,139.959319
奉免,35.741287,139.956799
北方,35.733266,139.952607
堀之内,35.75633,139.918398
本行徳,35.694017,139.91821
本塩,35.691242,139.920713
真間,35.732006,139.912897
湊,35.685088,139.910691
湊新田,35.683928,139.908415
南大野,35.7425,139.949802
南行徳,35.672727,139.904433
南八幡,35.716544,139.930513
宮久保,35.736885,139.929739
妙典,35.698767,139.925693
本北方,35.727228,139.94254
八幡,35.720285,139.932528
若宮,35.718135,139.950602
稲越,35.756603,139.930188
