let,num
青,4
田,24
新,25
飛,4
地,5
葉,4
台,17
あ,2
か,2
ね,1
明,1
原,5
け,1
ぼ,1
の,5
曙,1
橋,3
旭,1
東,7
上,5
本,1
泉,3
村,2
伊,1
勢,1
今,2
谷,8
南,8
岩,2
井,12
永,1
楽,1
大,8
島,1
津,1
ケ,12
丘,6
塚,3
山,7
加,1
賀,4
風,1
早,1
柏,13
下,5
中,8
堀,1
之,1
内,1
片,2
金,1
三,3
尾,6
利,2
根,5
や,1
北,2
亀,1
甲,1
高,6
五,1
條,1
酒,1
逆,5
藤,4
ノ,1
桜,1
し,2
い,1
木,1
篠,1
籠,1
宿,3
連,2
寺,2
正,1
富,2
水,1
道,1
末,1
広,1
関,1
場,1
千,2
間,1
染,1
入,1
柳,4
央,3
代,1
崎,3
つ,1
く,1
が,2
手,3
杜,1
常,1
盤,1
戸,8
張,2
里,1
豊,6
四,2
季,2
住,1
平,1
十,3
余,3
二,3
名,1
西,5
八,1
幡,1
花,1
野,5
光,2
団,1
日,1
立,1
ひ,1
ば,1
り,2
心,1
布,5
施,3
瀬,2
船,2
弁,1
天,1
増,3
松,3
緑,2
み,1
ど,1
箕,2
輪,2
向,1
弥,1
生,1
吉,1
沢,1
呼,1
若,3
柴,1
白,1
毛,1
鷲,2
室,1
小,1
イ,1
ン,1
タ,1
ー,1
