name,latitude,longitude
千葉県,大網白里市
池田,35.524232,140.294263
砂田,35.498915,140.277430
上谷新田,35.524688,140.355174
大網,35.529553,140.328408
大竹,35.526606,140.307565
柿餅,35.513292,140.350501
桂山,35.507326,140.371338
金谷郷,35.542620,140.290478
上貝塚,35.518302,140.347136
木崎,35.505381,140.357259
北飯塚,35.506419,140.351618
北今泉,35.499653,140.412732
北横川,35.514384,140.340279
北吉田,35.499302,140.362273
季美の森南,35.551177,140.297311
経田,35.514738,140.322594
九十根,35.506707,140.377511
小西,35.548867,140.312294
駒込,35.515886,140.312836
下ケ傍示,35.494350,140.378633
四天木,35.481791,140.404510
清水,35.480814,140.379558
清名幸谷,35.530110,140.345165
富田,35.516147,140.328998
長国,35.497443,140.370781
ながた野,35.505300,140.311065
二之袋,35.501015,140.381695
星谷,35.509500,140.338879
細草,35.493776,140.388356
仏島,35.520387,140.324651
みずほ台,35.517973,140.303212
みどりが丘,35.537573,140.315761
南飯塚,35.503467,140.344458
南今泉,35.491385,140.409047
南玉,35.525958,140.298955
南横川,35.497483,140.340484
みやこ野,35.518100,140.315363
餅木,35.543987,140.304317
柳橋,35.510152,140.364074
山口,35.540229,140.332058
養安寺,35.552179,140.321267
萱野,35.504073,140.283812
永田,35.506773,140.305194
神房,35.501176,140.296070
小中,35.512303,140.289840
