let,num
青,1
菅,1
畔,1
田,19
天,1
辺,1
飯,9
重,1
干,10
拓,10
台,12
塚,4
野,8
石,1
川,1
稲,1
荷,1
井,10
岩,3
富,2
名,1
印,1
南,3
臼,7
内,5
・,2
宮,6
入,1
会,1
裏,1
新,8
瓜,1
坪,2
江,3
原,5
王,2
子,2
大,6
崎,7
作,1
佐,2
倉,2
篠,2
蛇,1
太,1
小,4
竹,2
生,1
谷,1
表,1
海,1
隣,1
寺,2
角,1
来,1
鹿,1
島,1
鏑,2
木,6
仲,1
上,7
勝,2
志,6
津,6
代,1
別,1
所,1
神,1
門,3
米,1
戸,2
栄,1
坂,1
寒,1
風,1
山,6
下,5
根,2
樹,1
城,2
座,1
白,1
銀,1
千,1
成,1
染,1
高,2
岡,1
土,2
浮,2
藤,2
治,1
直,1
弥,2
長,1
熊,1
中,2
尾,1
余,1
七,1
曲,1
鍋,1
並,1
西,3
御,1
ユ,3
ー,3
カ,3
リ,3
が,3
丘,3
萩,2
八,2
幡,1
羽,1
鳥,1
春,1
路,2
沢,1
将,1
先,2
馬,1
渡,1
ノ,1
前,1
本,2
勒,1
六,1
最,1
狐,1
吉,1
見,1
