let,num
麻,1
生,1
新,3
田,15
雨,1
坪,1
板,3
川,3
附,1
中,2
市,1
場,1
井,1
之,2
内,1
植,1
草,2
大,4
木,6
沖,1
渡,1
親,1
上,2
横,3
地,2
崎,3
戸,4
原,2
深,3
小,3
泉,2
五,2
松,31
実,1
門,1
椎,1
柴,1
島,2
嶋,1
下,5
布,1
白,1
幡,1
真,1
行,1
寺,2
津,3
辺,1
殿,1
台,3
富,5
口,1
幸,1
谷,4
成,1
東,1
西,1
湯,2
坂,2
野,4
堀,1
蓮,6
沼,6
イ,1
ニ,1
ハ,1
平,1
ホ,1
ロ,1
埴,1
早,1
船,1
姫,1
日,1
向,1
尾,31
町,28
祝,1
堤,1
折,1
借,1
毛,1
本,4
郷,2
蕪,1
蔵,2
金,1
刀,1
反,1
古,1
和,2
猿,1
高,1
武,2
里,1
越,2
八,1
引,1
広,1
根,1
士,1
見,1
水,2
柏,1
山,1
室,1
ヶ,1
美,1
杉,1
勝,1
須,1
賀,1
森,1
矢,1
部,1
