name,latitude,longitude
千葉県,山武郡芝山町
朝倉,35.723410,140.400154
飯櫃,35.729383,140.421584
岩山,35.731018,140.403787
大里,35.745999,140.415410
大台,35.708526,140.418610
小原子,35.726944,140.429027
上吹入,35.717721,140.428872
香山新田,35.769325,140.402281
小池,35.691451,140.413782
境,35.711012,140.441662
芝山,35.691505,140.428386
下吹入,35.713265,140.431998
高田,35.710745,140.393333
高谷,35.704471,140.442374
殿部田,35.701811,140.448868
新井田,35.694834,140.395287
新井田新田,35.697172,140.380517
菱田,35.761166,140.410041
宝馬,35.718034,140.397738
牧野,35.718582,140.384057
宮崎,35.705016,140.438405
山田,35.720361,140.413759
山中,35.698756,140.435212
