name,latitude,longitude
千葉県,館山市
相浜,34.924090,139.828600
安布里,34.988026,139.878495
安東,34.995977,139.919780
飯沼,34.980005,139.884126
出野尾,34.962153,139.868585
伊戸,34.958793,139.776211
稲,34.991073,139.907958
犬石,34.932389,139.838734
上野原,34.996316,139.879308
江田,35.013162,139.909877
大網,34.984236,139.874980
大井,35.007509,139.934089
大賀,34.975018,139.828964
大戸,34.973096,139.875838
岡田,34.962537,139.862678
加賀名,34.965215,139.791448
笠名,34.973838,139.833559
神余,34.936224,139.872636
上真倉,34.971834,139.866551
亀ケ原,35.018455,139.880768
川名,35.030279,139.857289
見物,34.970178,139.795902
香,34.972697,139.821951
国分,34.999320,139.885786
腰越,35.003991,139.899091
小沼,34.958165,139.792754
小原,35.041454,139.871129
古茂口,34.977383,139.897474
坂井,34.955784,139.805896
坂足,34.956647,139.788823
作名,34.961457,139.888464
佐野,34.943435,139.849681
塩見,34.969998,139.811492
下真倉,34.979954,139.871462
新宿,34.989060,139.868537
洲崎,34.972314,139.759420
洲宮,34.949638,139.832684
薗,35.003621,139.918430
大神宮,34.919747,139.844728
高井,35.005924,139.878879
竹原,35.015795,139.924837
館山,34.984057,139.855526
中里,34.928102,139.842139
長須賀,34.986086,139.865795
那古,35.022351,139.860133
南条,34.978338,139.878380
西川名,34.963472,139.762927
西長田,34.959688,139.877969
沼,34.974289,139.851067
波左間,34.968706,139.783471
畑,34.937138,139.910230
浜田,34.970751,139.805353
早物,34.968405,139.801415
坂田,34.969818,139.771873
東長田,34.959373,139.883906
広瀬,35.007193,139.904849
富士見,34.986837,139.834052
藤原,34.947725,139.840263
二子,34.996918,139.914069
船形,35.028463,139.847494
宝貝,34.985646,139.917567
北条,34.994923,139.866575
北条正木,35.010894,139.874066
正木,35.026155,139.876643
水岡,34.991510,139.925602
水玉,35.005068,139.921842
湊,35.007738,139.870540
宮城,34.974250,139.839947
布沼,34.953493,139.823456
布良,34.916780,139.828612
茂名,34.958862,139.839771
山本,34.989878,139.893207
山荻,34.963218,139.896891
八幡,35.003668,139.863847
竜岡,34.930067,139.857306
