name,latitude,longitude
千葉県,千葉市若葉区
愛生,35.653386,140.134500
五十土,35.579820,140.216771
和泉,35.577460,140.251817
大井戸,35.628542,140.214336
大草,35.610372,140.190813
太田,35.607491,140.176235
大広,35.577516,140.207637
大宮台,35.594000,140.184359
大宮,35.594311,140.170521
小倉台,35.628562,140.169397
小倉,35.628047,140.167055
御成台,35.626693,140.194365
小間子,35.616718,140.258343
貝塚,35.625176,140.152598
貝塚,35.622136,140.146966
加曽利,35.613823,140.162961
金親,35.619492,140.205292
上泉,35.623951,140.237385
川井,35.587013,140.219072
北大宮台,35.599467,140.179620
北谷津,35.607637,140.201247
古泉,35.593354,140.242811
御殿,35.611614,140.215090
坂月,35.612698,140.179318
桜木,35.619555,140.156091
更科,35.617484,140.228572
佐和,35.584932,140.206763
下泉,35.630164,140.228055
下田,35.634334,140.211324
高品,35.625841,140.137815
高根,35.593785,140.214519
多部田,35.597429,140.194719
旦谷,35.650394,140.210680
千城台西,35.624848,140.182857
千城台南,35.618607,140.190180
都賀,35.631053,140.145549
都賀の台,35.640074,140.142540
殿台,35.635037,140.126014
富田,35.604316,140.248894
中田,35.601604,140.225681
中野,35.578378,140.271668
西都賀,35.634904,140.145710
野呂,35.576372,140.234761
原,35.632899,140.141101
東寺山,35.630755,140.133619
みつわ台,35.633046,140.130160
源,35.647416,140.129068
谷当,35.644636,140.214275
若松台,35.649563,140.169533
若松,35.644627,140.164909
