name,latitude,longitude
愛媛県,北宇和郡鬼北町
畔屋,33.308399,132.674258
生田,33.315514,132.693399
出目,33.250348,132.701029
岩谷,33.265735,132.712557
内深田,33.264063,132.661277
大宿,33.337132,132.686779
興野々,33.251856,132.711770
小倉,33.275940,132.725257
上大野,33.322467,132.796120
上鍵山,33.339803,132.776604
上川,33.263999,132.722487
川上,33.309309,132.777829
北川,33.246312,132.631716
清延,33.264335,132.670183
国遠,33.262283,132.681230
久保,33.305619,132.736758
小西野々,33.273793,132.717139
小松,33.315463,132.736523
沢松,33.272366,132.659696
芝,33.246574,132.679596
下大野,33.325154,132.716172
下鍵山,33.335053,132.796157
清水,33.299404,132.687378
近永,33.256501,132.672719
父野川上,33.331996,132.870036
父野川下,33.322756,132.801826
父野川中,33.312310,132.849357
永野市,33.249537,132.687580
中野川,33.245358,132.675359
奈良,33.248654,132.659859
成藤,33.275371,132.674609
西仲,33.271384,132.640347
西野々,33.286579,132.700476
延川,33.303874,132.746590
東仲,33.269378,132.652010
日向谷,33.356344,132.827183
広見,33.298568,132.718795
吉波,33.273216,132.631450
