name,latitude,longitude
愛媛県,伊予郡松前町
恵久美,33.793632,132.728400
大溝,33.782901,132.725452
上高柳,33.798934,132.731295
神崎,33.789132,132.741114
北川原,33.801752,132.702067
北黒田,33.781156,132.711217
出作,33.789567,132.751819
昌農内,33.800268,132.720447
大間,33.800070,132.739031
筒井,33.790916,132.699561
鶴吉,33.782538,132.738795
徳丸,33.792518,132.760613
中川原,33.799982,132.753524
永田,33.788627,132.726055
西古泉,33.794521,132.713929
西高柳,33.804920,132.721432
浜,33.789199,132.701735
東古泉,33.787475,132.720514
南黒田,33.774073,132.712713
横田,33.776557,132.729227
