let,num
明,6
理,1
川,18
屋,8
敷,2
荒,3
一,3
号,9
二,2
安,6
知,3
生,5
新,21
開,15
飯,1
岡,3
石,7
田,16
延,1
市,5
之,16
今,2
在,1
家,1
円,1
海,1
寺,5
大,8
野,11
浜,1
保,2
木,3
上,3
河,4
内,5
原,30
津,6
神,5
拝,3
乙,13
甲,13
喜,2
多,3
台,1
楠,2
黒,2
瀬,2
谷,2
桑,1
村,1
小,9
松,10
町,43
穂,2
鎚,1
郷,1
頭,1
北,4
南,3
妙,2
口,3
井,3
栄,1
坂,4
元,3
実,1
報,1
下,3
島,3
山,6
周,1
布,1
洲,3
千,10
三,4
四,1
五,1
六,1
師,1
玉,2
江,2
旦,1
丹,27
池,1
経,1
臼,1
根,1
窪,1
久,1
鞍,1
来,1
見,14
高,3
古,5
志,1
関,1
滝,1
方,1
尾,1
徳,2
能,2
出,2
作,2
長,1
湯,1
朔,1
日,1
越,1
禎,1
瑞,1
天,1
兎,3
中,7
奥,1
西,18
丙,2
鍋,1
倉,1
楢,1
相,2
泉,6
丁,2
東,5
壬,1
々,1
早,1
ひ,1
う,1
ち,1
樋,1
氷,13
戊,1
広,2
福,4
成,1
武,3
藤,2
船,3
条,1
本,1
丸,1
港,1
宮,1
芳,1
用,2
吉,1
国,1
蔵,1
兵,1
衛,1
