let,num
相,1
木,3
あ,1
お,1
ば,1
赤,2
坂,4
谷,17
味,1
真,3
野,11
吾,1
妻,1
荒,1
粟,3
田,7
部,2
町,1
中,14
央,2
安,2
養,1
寺,3
家,3
久,3
池,2
泉,1
ノ,1
上,9
市,3
々,1
稲,1
寄,1
今,1
宿,1
入,1
岩,2
内,2
本,8
瓜,2
生,4
不,1
老,1
大,9
塩,1
滝,1
手,1
平,6
虫,2
屋,4
岡,5
押,1
小,8
春,2
日,2
片,1
桂,1
金,1
太,2
坪,1
松,5
四,3
目,2
杉,4
柄,2
萱,1
北,7
山,9
府,4
下,7
千,5
福,3
京,2
清,2
根,2
葛,1
朽,1
飯,1
国,6
兼,1
高,5
黒,1
川,4
勾,1
当,1
原,8
向,3
陽,1
五,2
分,1
米,1
口,2
幸,2
定,1
友,1
沢,1
芝,1
島,1
水,2
頭,1
津,3
吹,2
別,2
所,1
庄,5
菖,1
蒲,1
勝,1
蓮,1
花,1
郎,1
丸,2
白,1
崎,2
新,7
在,1
堂,2
保,4
神,1
明,1
尾,6
菅,1
住,2
吉,1
合,1
曽,1
瀬,2
森,3
武,1
柳,2
長,4
塚,2
月,1
見,2
土,2
常,1
地,1
天,1
王,1
戸,2
轟,1
井,1
殿,1
都,1
辺,1
居,1
印,2
呂,1
波,1
垣,1
畷,1
二,1
階,1
西,5
樫,2
錦,1
河,1
境,2
丹,1
郷,1
萩,1
余,2
馬,1
免,1
畑,1
八,2
石,1
幡,1
万,1
代,1
桧,1
東,3
氷,1
美,1
姫,1
出,1
林,1
広,1
深,1
草,1
藤,1
富,1
士,1
が,2
丘,2
文,2
室,3
和,1
蓬,1
莱,1
仏,1
帆,1
堀,2
多,1
牧,1
間,1
三,3
ツ,3
俣,1
南,4
蓑,1
脇,1
宮,1
御,1
妙,1
法,1
村,2
元,2
矢,2
放,1
船,1
行,1
豊,1
湯,1
横,3
領,1
若,3
須,1
竹,1
