let,num
田,182
坂,70
谷,158
明,16
宮,29
見,22
河,38
内,28
羽,20
上,108
水,36
三,83
ケ,40
二,14
日,26
戸,20
瀬,20
安,23
波,21
中,117
島,54
保,29
天,14
池,13
生,47
川,44
荒,33
木,46
新,71
別,14
所,15
塚,16
久,20
倉,15
尻,13
部,14
石,23
橋,18
泉,28
王,12
寺,62
市,35
ノ,21
本,49
崎,27
浜,40
津,25
今,18
野,142
町,335
宇,11
大,81
口,29
山,90
子,16
原,67
江,117
丘,19
手,11
土,25
村,13
森,26
矢,12
和,32
岡,175
西,63
平,34
神,23
小,77
畑,14
花,11
月,12
尾,30
春,78
鹿,19
俣,12
金,19
屋,46
北,63
下,92
東,57
郷,21
合,14
堀,12
四,16
ツ,24
城,13
米,11
国,68
黒,15
丸,134
御,13
清,25
八,21
布,12
杉,18
井,69
堂,19
高,33
竹,15
千,11
地,15
前,17
長,21
南,30
深,12
福,14
舟,11
松,69
間,13
越,12
留,17
横,18
吉,23
若,18
々,12
名,25
沢,11
庄,37
家,11
向,14
