let,num
相,1
生,3
青,1
井,3
阿,2
納,2
尻,1
池,1
河,1
内,2
守,1
一,3
番,1
犬,1
熊,2
上,4
野,6
宇,1
久,2
雲,1
浜,25
駅,1
前,6
大,4
谷,6
手,2
奥,1
田,11
縄,3
岡,2
津,3
尾,2
崎,5
遠,1
敷,2
小,28
浅,1
間,1
飛,1
鳥,2
玉,2
今,1
宮,4
原,7
男,1
山,4
鹿,2
島,2
香,1
取,2
神,2
貴,1
船,1
清,1
滝,1
酒,1
塩,2
竃,1
白,2
鬚,1
鈴,1
住,1
吉,3
多,3
賀,2
竜,2
日,1
広,1
峰,1
屋,4
加,3
学,1
園,1
堅,1
海,1
斗,1
金,1
竹,4
根,2
来,2
茂,1
川,4
木,1
北,1
口,1
栗,1
鯉,1
甲,1
ケ,1
国,1
分,3
松,3
王,1
三,1
志,1
積,1
四,2
下,3
城,1
寺,2
新,2
保,2
須,1
太,2
興,1
高,1
塚,1
烏,1
長,1
良,1
庄,1
千,1
種,1
忠,1
次,1
東,2
市,1
場,1
泊,1
中,3
ノ,1
畑,1
奈,1
胡,1
西,3
勢,2
代,2
後,1
瀬,1
羽,1
飯,1
盛,1
平,1
深,2
福,1
伏,1
府,1
仏,1
堀,1
本,1
ヶ,1
丸,1
水,1
湊,1
南,1
の,1
門,1
矢,1
部,1
湯,1
若,1
狭,1
和,2
里,1
