name,latitude,longitude
福井県,大飯郡高浜町
青,35.484779,135.504888
青戸,35.489780,135.587380
旭ケ丘,35.486171,135.488195
安土,35.494375,135.584619
今寺,35.496855,135.479707
岩神,35.488911,135.565500
上瀬,35.551991,135.477933
小黒飯,35.512079,135.508152
音海,35.539737,135.510215
笠原,35.469694,135.556330
鐘寄,35.488788,135.530881
鎌倉,35.521353,135.454704
上車持,35.478686,135.591961
神野,35.518284,135.493916
神野浦,35.525514,135.491097
事代,35.494129,135.552702
子生,35.468909,135.534708
小和田,35.487893,135.501970
坂田,35.475302,135.541545
三明,35.491328,135.549541
塩土,35.493000,135.546530
紫水ケ丘,35.487460,135.567046
下,35.530216,135.457260
下車持,35.481955,135.591786
水明,35.493678,135.595055
関屋,35.480778,135.495277
薗部,35.488118,135.560357
高野,35.494920,135.488294
高森,35.485476,135.599963
立石,35.488176,135.539673
田ノ浦,35.523348,135.508333
中津海,35.489225,135.527908
中山,35.495961,135.498071
難波江,35.504902,135.503665
西三松,35.496000,135.509176
畑,35.484848,135.535764
東三松,35.488815,135.520376
日置,35.485532,135.511229
日引,35.542675,135.473781
蒜畠,35.483819,135.481930
馬居寺,35.480893,135.583321
緑ケ丘,35.493115,135.507662
南団地,35.485742,135.547788
宮尾,35.534485,135.467258
宮崎,35.484357,135.550196
山中,35.520548,135.471385
湯谷,35.483295,135.543270
横津海,35.475162,135.498316
六路谷,35.479490,135.475925
若宮,35.490678,135.545055
和田,35.491709,135.577913
