name,latitude,longitude
福岡県,福津市
あけぼの,33.771213,130.511945
畦,33.764027,130.536064
在自,33.792853,130.483353
内殿,33.749563,130.516494
大石,33.806379,130.485516
小竹,33.781452,130.514954
勝浦,33.828677,130.489197
上西郷,33.750727,130.503449
光陽台,33.767049,130.494467
桜川,33.770896,130.507705
舎利蔵,33.742081,130.530697
須多田,33.799488,130.487260
高平,33.773374,130.506700
中央,33.767336,130.491411
津丸,33.767216,130.509811
津屋崎,33.802873,130.469700
手光,33.780965,130.501528
西福間,33.769105,130.479520
奴山,33.813048,130.496458
花見が丘,33.760930,130.480345
花見が浜,33.760561,130.474313
花見の里,33.752472,130.479057
東福間,33.775090,130.511845
久末,33.764010,130.515462
日蒔野,33.762523,130.489714
福間駅東,33.764042,130.490546
福間南,33.756545,130.489907
星ヶ丘,33.788449,130.482735
宮司,33.784456,130.489491
宮司ヶ丘,33.783798,130.481865
宮司浜,33.775785,130.475394
宮司元,33.780157,130.486690
村山田,33.775015,130.521806
本木,33.747262,130.540777
八並,33.772277,130.534768
生家,33.811607,130.487658
有弥の里,33.750713,130.484015
若木台,33.772679,130.513044
渡,33.801404,130.455221
