name,latitude,longitude
福岡県,福岡市博多区
相生,33.544607,130.456278
青木,33.591920,130.453940
井相田,33.558400,130.462292
板付,33.570477,130.448936
浦田,33.575732,130.476481
榎田,33.596319,130.437461
青木,33.586887,130.446245
板付,33.567772,130.453892
堅粕,33.599620,130.438436
金隈,33.561901,130.479346
上臼井,33.590954,130.445250
雀居,33.580892,130.446208
下臼井,33.598550,130.444755
下月隈,33.576582,130.456090
東平尾,33.583781,130.450859
立花寺,33.568701,130.473508
大井,33.605247,130.441543
沖浜,33.609202,130.401384
堅粕,33.597896,130.418858
金の隈,33.561379,130.471138
上川端,33.593877,130.408683
上呉服,33.598279,130.411825
上牟田,33.587990,130.436479
神屋,33.600972,130.403774
祇園,33.591921,130.412345
銀天,33.545636,130.462034
空港前,33.602698,130.447209
御供所,33.596514,130.414681
寿,33.541482,130.459585
古門戸,33.597803,130.404176
三筑,33.552933,130.454616
山王,33.582815,130.431489
東雲,33.545878,130.465996
下川端,33.595760,130.406025
下呉服,33.601515,130.408246
昭南,33.540195,130.461945
新和,33.537804,130.464960
須崎,33.596863,130.402398
住吉,33.589768,130.411069
石城,33.605316,130.405758
大博,33.602814,130.405825
竹丘,33.542856,130.464894
竹下,33.569552,130.429477
築港本,33.602693,130.400499
千代,33.601927,130.418047
月隈,33.578177,130.462508
綱場,33.597589,130.407811
対馬小路,33.599056,130.401351
店屋,33.596161,130.409787
東光,33.592417,130.425730
東光寺,33.575678,130.434422
那珂,33.572241,130.435747
中呉服,33.599676,130.409872
中洲,33.589821,130.409090
中洲中島,33.595235,130.402559
奈良屋,33.599102,130.405827
西月隈,33.574334,130.449782
西春,33.542504,130.466602
博多駅中央街,33.589783,130.420591
博多駅前,33.593755,130.418361
博多駅南,33.585581,130.422455
春,33.543818,130.468053
半道橋,33.580889,130.438091
比恵,33.585553,130.429481
東公園,33.605706,130.419358
東月隈,33.582331,130.468499
東那珂,33.576257,130.440682
東比恵,33.589998,130.428555
東平尾,33.589798,130.456320
東平尾公園,33.590496,130.461468
光丘,33.539466,130.465588
南八幡,33.546120,130.455658
南本,33.546588,130.459694
美野島,33.580622,130.416544
麦野,33.554041,130.456915
元,33.542656,130.461839
諸岡,33.563048,130.447461
豊,33.596306,130.431747
吉塚,33.601405,130.423973
吉塚本,33.607330,130.423914
立花寺,33.564631,130.466288
冷泉,33.594402,130.411953
