let,num
相,2
生,1
青,2
木,2
井,4
田,4
板,2
付,2
浦,1
榎,1
堅,2
粕,2
金,2
隈,6
上,4
臼,2
雀,1
居,1
下,5
月,4
東,10
平,3
尾,3
立,2
花,2
寺,3
大,2
沖,1
浜,1
の,1
川,2
端,2
呉,3
服,3
牟,1
神,1
屋,3
祇,1
園,3
銀,1
天,1
空,1
港,2
前,2
御,1
供,1
所,1
寿,1
古,1
門,1
戸,1
三,1
筑,1
山,1
王,1
雲,1
昭,1
南,4
新,1
和,1
須,1
崎,1
住,1
吉,3
石,1
城,1
博,4
竹,2
丘,2
築,1
本,3
千,1
代,1
綱,1
場,1
対,1
馬,1
小,1
路,1
店,1
光,3
那,2
珂,2
中,5
洲,2
島,2
奈,1
良,1
西,2
春,2
多,3
駅,3
央,1
街,1
半,1
道,1
橋,1
比,2
恵,2
公,2
八,1
幡,1
美,1
野,2
麦,1
元,1
諸,1
岡,1
豊,1
塚,2
冷,1
泉,1
