name,latitude,longitude
福岡県,飯塚市
相田,33.670933,130.649704
阿恵,33.556776,130.642567
赤坂,33.620002,130.731438
秋松,33.621822,130.676401
有井,33.651494,130.720942
有安,33.642760,130.724552
飯塚,33.636163,130.686064
伊川,33.653630,130.649590
伊岐須,33.653164,130.662295
入水,33.619581,130.750999
内野,33.533075,130.637679
潤野,33.632388,130.656672
枝国,33.634674,130.672474
大門,33.657714,130.731820
小正,33.626113,130.662816
鹿毛馬,33.669370,130.741669
片島,33.644206,130.680783
上三緒,33.624578,130.711967
柏の森,33.642284,130.703596
川島,33.657032,130.690952
川津,33.652158,130.676384
北古賀,33.583812,130.650793
口原,33.689374,130.716765
久保白,33.597542,130.651366
桑曲,33.512141,130.638569
建花寺,33.662295,130.633976
幸袋,33.660476,130.680928
菰田,33.625127,130.691818
菰田東,33.628947,130.692195
佐與,33.668642,130.722249
下三緒,33.633287,130.705253
目尾,33.677247,130.701197
舎利蔵,33.612010,130.625190
庄司,33.680965,130.661448
庄内元吉,33.663759,130.732722
新飯塚,33.644124,130.690422
新立岩,33.647078,130.688992
勢田,33.692897,130.734442
大日寺,33.636454,130.637484
大分,33.584459,130.624720
高倉,33.602990,130.764387
高田,33.599203,130.632871
多田,33.643713,130.743246
忠隈,33.621987,130.687282
立岩,33.647637,130.698644
太郎丸,33.606679,130.671504
筑穂元吉,33.572580,130.636109
津島,33.676086,130.680866
筒野,33.601517,130.750054
綱分,33.631359,130.733878
椿,33.616886,130.658727
津原,33.609111,130.647113
鶴三緒,33.624682,130.699169
天道,33.603626,130.677344
徳前,33.632070,130.681640
内住,33.590090,130.588744
中,33.669251,130.675714
長尾,33.574610,130.649331
鯰田,33.663711,130.702130
西徳前,33.637624,130.679188
西,33.640665,130.679114
仁保,33.653150,130.738851
花瀬,33.643213,130.656328
東徳前,33.635308,130.679906
平塚,33.568016,130.656390
平恒,33.606502,130.690307
弁分,33.621379,130.662235
堀池,33.627366,130.682012
本,33.638944,130.684633
馬敷,33.564979,130.608807
南尾,33.616682,130.690010
宮,33.641794,130.683147
明星寺,33.624844,130.635588
椋本,33.603699,130.660719
八木山,33.633712,130.602091
安恒,33.611425,130.658717
柳橋,33.673692,130.690092
山口,33.547409,130.609559
山倉,33.625231,130.744869
弥山,33.529166,130.663399
横田,33.645021,130.669217
芳雄,33.640287,130.690999
吉北,33.683095,130.686486
吉原,33.641376,130.686618
楽市,33.610213,130.677143
蓮台寺,33.649336,130.631651
若菜,33.628356,130.673941
