name,latitude,longitude
福岡県,嘉麻市
芥田,33.543253,130.719609
飯田,33.569553,130.701762
泉河内,33.515575,130.686704
稲築才田,33.577609,130.733196
猪国,33.574853,130.773502
岩崎,33.596589,130.716052
牛隈,33.565181,130.736734
馬見,33.509861,130.758231
漆生,33.585748,130.717195
大隈,33.539067,130.760448
大隈,33.541776,130.740360
小野谷,33.504653,130.771971
嘉穂才田,33.541945,130.700018
上,33.528153,130.764371
上臼井,33.560463,130.708598
上西郷,33.544745,130.731770
上山田,33.563082,130.774092
鴨生,33.607769,130.730433
口春,33.604869,130.713070
熊ヶ畑,33.537641,130.786907
九郎原,33.547643,130.703691
桑野,33.498888,130.795134
光代,33.566807,130.720177
貞月,33.555300,130.732824
椎木,33.529708,130.745214
下臼井,33.574976,130.709285
下山田,33.574623,130.755303
千手,33.510694,130.723729
大力,33.522699,130.704508
中益,33.540362,130.747857
西郷,33.557032,130.719986
東畑,33.522001,130.668757
平,33.588011,130.740695
平山,33.559699,130.698360
屏,33.505030,130.742688
宮吉,33.523565,130.775189
山野,33.610100,130.706749
