name,latitude,longitude
福岡県,京都郡苅田町
新津,33.754071,130.975388
磯浜,33.783174,130.984655
集,33.76814,130.964421
雨窪,33.791334,130.966519
新津,33.750547,130.966476
稲光,33.752698,130.938254
岡崎,33.740274,130.945686
尾倉,33.761909,130.966352
上片島,33.741286,130.954691
苅田,33.805785,130.980271
葛川,33.751399,130.947849
黒添,33.747354,130.928882
下新津,33.754321,130.981729
下片島,33.752297,130.955983
鋤崎,33.744348,130.938615
谷,33.758551,130.921835
馬場,33.779078,130.972679
浜,33.766874,130.982149
提,33.788255,130.972767
二崎,33.746133,130.987197
法正寺,33.751242,130.917948
松山,33.803741,130.985412
光国,33.781674,130.966385
南原,33.775794,130.964109
山口,33.768421,130.936141
与原,33.754034,130.99236
尾倉,33.76537,130.977538
小波瀬,33.758296,130.97653
京,33.782181,130.981127
空港南,33.827802,131.035274
近衛ヶ丘,33.766106,130.976894
幸,33.791659,130.984213
桜ヶ丘,33.757663,130.97385
神田,33.785162,130.980752
新浜,33.767125,131.00061
殿川,33.772389,130.986106
富久,33.77378,130.979485
鳥越,33.806818,130.995583
長浜,33.782072,130.995314
松原,33.799002,130.98479
港,33.789228,130.992804
与原,33.758462,130.979415
若久,33.795872,130.97581
新松山,33.807454,131.011103
