name,latitude,longitude
福岡県,春日市
泉,33.529562,130.439641
一の谷,33.524801,130.448696
春日,33.517486,130.461824
下白水,33.506125,130.459390
大谷,33.530252,130.454624
大土居,33.516509,130.456064
岡本,33.541438,130.448942
春日,33.515791,130.463910
春日公園,33.528158,130.475679
春日原北,33.536742,130.468808
春日原東,33.538413,130.473483
春日原南,33.532930,130.475350
上白水,33.522586,130.437780
小倉,33.533608,130.456505
桜ヶ丘,33.546934,130.445605
下白水南,33.525922,130.444510
白水池,33.512031,130.451245
白水ヶ丘,33.513531,130.445877
須玖南,33.538961,130.446096
惣利,33.514697,130.468933
宝,33.536439,130.462059
ちくし台,33.522299,130.459901
千歳,33.536029,130.467200
塚原台,33.510457,130.464286
天神山,33.518502,130.446929
昇,33.530605,130.448213
伯玄,33.533004,130.458114
原,33.525415,130.467084
光,33.533590,130.463948
日の出,33.544457,130.451882
平田台,33.514707,130.473513
星見ヶ丘,33.503344,130.458193
松ヶ丘,33.512944,130.457121
紅葉ヶ丘東,33.514693,130.460956
大和,33.537916,130.460542
弥生,33.536977,130.448022
若葉台東,33.528805,130.462656
上白水,33.503510,130.449437
