name,latitude,longitude
福岡県,遠賀郡水巻町
伊左座,33.843702,130.688366
猪熊,33.886526,130.680237
梅ノ木団地,33.868199,130.689086
えぶり,33.856051,130.684687
おかの台,33.874869,130.691656
鯉口,33.853427,130.701059
古賀,33.863059,130.683575
頃末南,33.854252,130.697333
下二東,33.848153,130.695496
高尾,33.861311,130.697538
高松,33.87042,130.692745
立屋敷,33.851609,130.686971
中央,33.862593,130.694964
樋口,33.873523,130.689233
二西,33.840774,130.695672
緑ケ丘,33.858949,130.687653
宮尾台,33.847464,130.712257
美吉野,33.85401,130.703055
牟田,33.867368,130.69312
吉田団地,33.842868,130.706404
吉田東,33.851085,130.703069
