name,latitude,longitude
福岡県,那珂川市
今光,33.522734,130.431285
後野,33.504618,130.417218
恵子,33.515070,130.419104
王塚台,33.502809,130.438057
安徳,33.496774,130.426114
市ノ瀬,33.439673,130.436644
後野,33.504454,130.400120
埋金,33.459785,130.445807
恵子,33.510335,130.419002
片縄,33.517261,130.408284
上梶原,33.481925,130.443092
五ケ山,33.417864,130.423756
五郎丸,33.506624,130.432255
下梶原,33.499005,130.441123
仲,33.503926,130.430230
道善,33.511696,130.420527
中原,33.506021,130.444957
南面里,33.462565,130.396442
成竹,33.454954,130.412194
西隈,33.498512,130.416585
西畑,33.488443,130.390894
東隈,33.503447,130.425921
不入道,33.472268,130.428092
別所,33.485469,130.408051
松木,33.502568,130.442959
山田,33.484521,130.423194
片縄,33.522042,130.423355
片縄西,33.516504,130.415906
上梶原,33.495596,130.433613
五郎丸,33.513188,130.428077
下梶原,33.497317,130.435149
仲,33.510283,130.426493
仲丸,33.504085,130.433960
道善,33.512843,130.424726
中原,33.520284,130.433869
西隈,33.501457,130.421773
東隈,33.504167,130.422112
松木,33.513502,130.433035
松原,33.507512,130.438404
観晴が丘,33.508830,130.444792
