name,latitude,longitude
福岡県,直方市
赤地,33.728356,130.728331
植木,33.779172,130.707618
永満寺,33.734551,130.773632
上境,33.730633,130.757183
上新入,33.748776,130.704176
上頓野,33.769590,130.779623
感田,33.764472,130.737746
下境,33.729828,130.742529
下新入,33.761219,130.699456
知古,33.759305,130.727880
頓野,33.752084,130.766981
中泉,33.712862,130.737788
直方,33.740356,130.724868
畑,33.746010,130.773970
山部,33.743612,130.720643
神正,33.753709,130.724433
新知,33.757675,130.720944
新,33.740801,130.728760
須崎,33.750839,130.725791
知古,33.754417,130.726413
津田,33.747921,130.730523
殿,33.744170,130.729409
日吉,33.752013,130.729077
古,33.747300,130.727153
丸山,33.733421,130.725186
溝堀,33.738624,130.730737
湯野原,33.767585,130.747108
