name,latitude,longitude
福岡県,三潴郡大木町
筏溝,33.197394,130.434366
絵下古賀,33.206634,130.433095
大角,33.226092,130.449737
大藪,33.189613,130.447217
奥牟田,33.198592,130.447728
上木佐木,33.204247,130.435474
上白垣,33.218153,130.425858
上八院,33.214480,130.432035
上牟田口,33.199620,130.428457
笹渕,33.238286,130.447161
侍島,33.208224,130.450862
高橋,33.190585,130.455349
八町牟田,33.209755,130.433085
蛭池,33.214514,130.451810
福土,33.230524,130.456278
前牟田,33.231355,130.440709
三八松,33.189894,130.437617
横溝,33.223417,130.428019
