name,latitude,longitude
福岡県,遠賀郡遠賀町
浅木,33.832125,130.669891
浅木,33.830552,130.674607
今古賀,33.848334,130.665340
老良,33.837713,130.685308
尾崎,33.859805,130.647468
鬼津,33.865693,130.662314
上別府,33.832222,130.653199
木守,33.839933,130.671564
島津,33.878017,130.674239
広渡,33.857930,130.676843
別府,33.847779,130.656831
虫生津,33.820957,130.653861
若松,33.867767,130.670420
遠賀川,33.846653,130.671421
旧停,33.848553,130.679138
島門,33.856814,130.663708
田園,33.854127,130.653738
広渡,33.853272,130.672651
芙蓉,33.822461,130.660694
松の本,33.853320,130.670080
虫生津南,33.820945,130.666392
蓮角,33.836932,130.665328
若葉台,33.824683,130.652738
