name,latitude,longitude
福岡県,うきは市
浮羽町朝田,33.330546,130.792127
浮羽町妹川,33.299594,130.758914
浮羽町浮羽,33.334317,130.778502
浮羽町小塩,33.304194,130.848285
浮羽町高見,33.347719,130.806773
浮羽町田篭,33.273123,130.841605
浮羽町流川,33.325059,130.780794
浮羽町新川,33.282363,130.802072
浮羽町西隈上,33.339202,130.794246
浮羽町東隈上,33.338040,130.801552
浮羽町古川,33.353418,130.799586
浮羽町三春,33.346219,130.824663
浮羽町山北,33.334218,130.820625
吉井,33.342521,130.751243
吉井町生葉,33.347664,130.737970
吉井町江南,33.362807,130.735757
吉井町清瀬,33.337749,130.765656
吉井町桜井,33.345534,130.786142
吉井町鷹取,33.322275,130.729183
吉井町橘田,33.357629,130.760547
吉井町千年,33.354414,130.772707
吉井町徳丸,33.341479,130.781491
吉井町富永,33.324315,130.738748
吉井町長栖,33.367273,130.727368
吉井町新治,33.351409,130.749945
吉井町福永,33.351681,130.764019
吉井町福益,33.322627,130.749963
吉井町宮田,33.342888,130.773245
吉井町屋部,33.325235,130.762341
吉井町八和田,33.358788,130.748290
吉井町若宮,33.343284,130.765592
