name,latitude,longitude
福岡県,北九州市若松区
青葉台東,33.903259,130.689416
赤岩,33.888598,130.765653
赤崎,33.919179,130.787212
赤島,33.895565,130.780312
今光,33.892968,130.774652
栄盛川,33.910891,130.800334
老松,33.908798,130.804630
蜑住,33.909089,130.707907
有毛,33.925447,130.695942
安瀬,33.924922,130.807495
安屋,33.927671,130.719363
大鳥居,33.899796,130.699851
小竹,33.914650,130.755029
乙丸,33.910735,130.690001
小石,33.910565,130.775848
小敷,33.892385,130.701471
修多羅,33.902310,130.798588
高須,33.895183,130.685053
竹並,33.912227,130.723272
頓田,33.912378,130.734172
畠田,33.902511,130.752076
払川,33.900211,130.721155
藤木,33.898186,130.769171
二島,33.897912,130.758809
大池,33.895484,130.793599
大井戸,33.907208,130.804854
大谷,33.905996,130.790390
片山,33.898966,130.741711
上原,33.913332,130.792907
鴨生田,33.893662,130.734492
北浜,33.910857,130.814028
北湊,33.915935,130.804189
響南,33.919778,130.799120
くきのうみ中央,33.891361,130.793420
久岐の浜,33.896692,130.803650
小石本村,33.917298,130.782400
小糸,33.909249,130.788940
向洋,33.926191,130.785301
小敷ひびきの,33.890816,130.704835
桜,33.909819,130.806740
迫田,33.914098,130.786272
塩屋,33.892898,130.720764
下原,33.916810,130.790667
新大谷,33.904868,130.794491
修多羅,33.901507,130.801748
高須西,33.892723,130.685906
高須南,33.886153,130.694426
棚田,33.913084,130.790095
童子丸,33.891092,130.766715
童子丸,33.892346,130.764183
中川,33.905855,130.807057
中畑,33.910610,130.785191
波打,33.912629,130.801333
西小石,33.919511,130.791443
西園,33.909483,130.800976
西天神,33.890793,130.760820
西畑,33.909711,130.793248
白山,33.901695,130.804958
畠田,33.901931,130.746946
畑谷,33.902900,130.793139
花野路,33.907958,130.681872
浜,33.905716,130.812951
原,33.915906,130.794721
東小石,33.918883,130.795886
東畑,33.908581,130.796634
東二島,33.890459,130.759050
ひびきの,33.889676,130.711783
ひびきの南,33.887280,130.714479
響,33.940111,130.821747
深,33.914360,130.798672
藤ノ木,33.891937,130.785574
二島,33.890462,130.744668
古前,33.893524,130.798545
本,33.903307,130.812886
南二島,33.885158,130.758474
宮前,33.916506,130.787586
宮丸,33.895943,130.788356
柳崎,33.929592,130.742881
山手,33.904018,130.802020
山ノ堂,33.906135,130.797491
百合野,33.897918,130.783531
用勺,33.894029,130.769696
和田,33.893785,130.792346
