let,num
青,1
葉,1
台,1
東,4
赤,3
岩,1
崎,2
島,5
今,1
光,1
栄,1
盛,1
川,3
老,1
松,1
蜑,1
住,1
有,1
毛,1
安,2
瀬,1
屋,2
大,5
鳥,1
居,1
小,8
竹,2
乙,1
丸,4
石,4
敷,2
修,2
多,2
羅,2
高,3
須,3
並,1
頓,1
田,7
畠,2
払,1
藤,2
木,2
二,4
池,1
井,1
戸,1
谷,3
片,1
山,4
上,1
原,3
鴨,1
生,1
北,2
浜,3
湊,1
響,2
南,4
く,1
き,4
の,5
う,1
み,1
中,3
央,1
久,1
岐,1
本,2
村,1
糸,1
向,1
洋,1
ひ,3
び,3
桜,1
迫,1
塩,1
下,1
新,1
西,5
棚,1
童,2
子,2
畑,4
波,1
打,1
園,1
天,1
神,1
白,1
花,1
野,2
路,1
深,1
ノ,2
古,1
前,2
宮,2
柳,1
手,1
堂,1
百,1
合,1
用,1
勺,1
和,1
