let,num
対,1
馬,4
館,3
神,24
指,23
町,149
橋,4
本,9
飯,3
盛,1
八,5
角,2
河,16
東,31
工,2
業,2
団,2
地,3
大,69
字,45
中,11
四,3
合,4
戸,20
高,16
川,13
山,12
湯,4
湊,5
平,4
潟,2
原,9
赤,1
井,3
共,1
和,6
門,13
田,29
黒,2
岩,1
面,1
北,57
会,43
津,43
下,7
荒,3
新,7
在,1
家,1
麻,4
生,5
野,16
金,4
屋,3
西,10
松,6
後,2
庵,2
城,7
七,2
日,7
五,1
月,1
一,8
箕,7
幡,1
滝,2
沢,9
安,2
旭,1
蚕,1
養,1
相,1
昭,1
場,2
央,1
蟹,1
堀,2
十,1
二,2
所,1
真,2
宮,7
内,3
小,10
谷,8
村,3
上,12
塩,2
芦,1
牧,1
三,5
寄,4
豆,1
端,1
坂,1
香,1
南,9
雨,2
静,1
青,1
木,5
水,1
季,1
の,2
里,2
古,3
舘,2
ほ,1
た,1
る,1
森,1
花,4
春,1
米,3
代,2
前,4
追,1
手,1
鹿,1
慶,1
千,3
石,8
桧,1
畑,2
行,1
仁,1
徒,1
之,1
栄,3
堤,3
ノ,2
堰,1
見,3
ケ,1
丘,1
建,1
福,2
寺,5
御,2
年,3
貢,3
天,4
明,1
表,1
錦,1
脇,1
吉,3
桜,1
塚,4
両,1
堂,5
宝,1
寧,1
横,2
緑,1
材,1
幕,2
旗,1
柳,2
柏,1
島,3
今,1
泉,2
満,2
鷺,1
林,1
袋,2
瀬,3
丸,1
如,1
来,1
榎,1
檀,1
沼,3
白,2
虎,1
扇,1
駅,1
広,2
流,2
熊,1
倉,1
イ,1
ン,1
タ,1
ー,1
郡,1
界,1
長,3
久,3
浅,1
岡,1
藤,1
室,1
居,1
鶴,2
賀,3
亀,1
始,1
良,1
出,1
尻,1
徳,1
住,1
根,1
岸,1
