name,latitude,longitude
福島県,福島市
飯野町青木,37.692813,140.539338
松川町金沢,37.671583,140.488335
松川町下川崎,37.636541,140.487030
松川町沼袋,37.652919,140.498999
松川町水原,37.664352,140.388149
飯野町大久保,37.663070,140.548668
立子山,37.694975,140.516320
渡利,37.736442,140.498791
田沢,37.704069,140.488830
松川町浅川,37.678700,140.466097
松川町関谷,37.677468,140.441360
土湯温泉,37.685746,140.290256
山田,37.701456,140.396019
荒井,37.709433,140.374347
土船,37.740620,140.369526
庄野,37.740188,140.387144
上名倉,37.728051,140.376047
桜本,37.736886,140.306143
在庭坂,37.754610,140.343193
李平,37.775400,140.270818
町庭坂,37.768502,140.305220
山口,37.759375,140.512821
大波,37.740221,140.534792
腰浜,37.756075,140.482565
上浜,37.754386,140.476232
舟場,37.752285,140.473788
上,37.753522,140.468947
大,37.753570,140.466967
本,37.753191,140.464891
栄,37.754764,140.461634
太田,37.754107,140.455945
野田,37.754440,140.449821
八木田,37.750384,140.445770
須川,37.750832,140.453796
本内,37.787908,140.492625
岡部,37.775468,140.502132
鎌田,37.795602,140.496775
瀬上,37.805743,140.504865
仁井田,37.750162,140.430229
二子塚,37.757212,140.387333
大笹生,37.817044,140.352578
飯坂,37.840970,140.430689
飯坂町湯野,37.843119,140.454372
飯坂町東湯野,37.826372,140.481473
飯坂町中野,37.855024,140.360053
飯坂町茂庭,37.912727,140.369063
飯野,37.650814,140.539893
飯野町明治,37.655930,140.521890
松川町美郷,37.661888,140.475005
松川,37.657610,140.463216
さくら,37.730071,140.393236
光が丘,37.689941,140.470372
金谷川,37.683170,140.455660
中,37.751076,140.464993
早稲,37.752016,140.462586
蓬莱,37.695288,140.487776
清水,37.703237,140.466081
平石,37.695229,140.442610
小田,37.699935,140.420954
南向台,37.725287,140.484751
小倉寺,37.730318,140.478144
伏拝,37.717845,140.462867
黒岩,37.720472,140.467751
鳥谷野,37.734774,140.467260
郷野目,37.737656,140.462108
杉妻,37.750147,140.468164
御倉,37.746442,140.465787
南,37.742293,140.463092
荒,37.748659,140.464951
柳,37.746185,140.463961
清明,37.746655,140.461827
五月,37.749814,140.462019
永井川,37.719433,140.452971
太平寺,37.731837,140.457607
矢剣,37.747885,140.457434
方木田,37.743427,140.453214
大森,37.728668,140.439081
成川,37.741132,140.424501
吉倉,37.743758,140.436806
上鳥渡,37.723687,140.407874
下鳥渡,37.726834,140.421109
佐倉下,37.742407,140.406626
佐原,37.715438,140.311565
岡島,37.786578,140.514300
南中央,37.758774,140.437095
西中央,37.759198,140.433186
東中央,37.762621,140.439271
陣場,37.757271,140.462547
三河南,37.756597,140.455815
天神,37.760433,140.463204
曽根田,37.760211,140.459863
三河北,37.759634,140.456450
森合,37.764436,140.462232
北,37.754039,140.471444
宮,37.756118,140.469335
豊田,37.755193,140.473525
仲間,37.756183,140.471643
万世,37.757156,140.465151
新,37.756629,140.467483
置賜,37.755262,140.463700
浜田,37.758055,140.475621
北五老内,37.762200,140.476057
五老内,37.760296,140.474648
松木,37.759380,140.471472
新浜,37.759593,140.469233
宮下,37.760870,140.466710
御山,37.764562,140.467132
松浪,37.766801,140.478831
旭,37.764325,140.476833
春日,37.767347,140.474115
山下,37.764780,140.472835
花園,37.762540,140.472578
霞,37.763912,140.469896
信夫山,37.770247,140.473900
八島,37.769625,140.484943
桜木,37.764191,140.481789
入江,37.770112,140.480028
東浜,37.762420,140.486112
北中央,37.762871,140.433683
上野寺,37.760039,140.405767
堀河,37.768918,140.489363
松山,37.775273,140.484183
五十辺,37.776734,140.478920
御山,37.776875,140.465841
森合,37.767699,140.452157
泉,37.777071,140.449560
八島田,37.769781,140.432906
下野寺,37.769408,140.404894
笹木野,37.769642,140.418853
丸子,37.783346,140.474835
南沢又,37.778244,140.434046
北矢野目,37.794463,140.465034
北沢又,37.785513,140.428277
南矢野目,37.790065,140.458639
宮代,37.806189,140.480993
下飯坂,37.811774,140.469053
沖高,37.803485,140.464463
笹谷,37.794505,140.427099
飯坂町平野,37.809532,140.439150
