name,latitude,longitude
福島県,双葉郡双葉町
下羽鳥,37.453655,140.994480
渋川,37.467036,140.992164
鴻草,37.469365,141.006026
前田,37.442403,141.000391
長塚,37.455485,141.010103
山田,37.427885,140.959716
細谷,37.432180,141.020920
新山,37.443967,141.010698
中浜,37.461271,141.034319
郡山,37.446395,141.027236
中野,37.457522,141.026971
両竹,37.464624,141.023819
中田,37.468736,141.015117
水沢,37.436718,140.985946
目迫,37.442470,140.983140
松迫,37.436590,140.971066
石熊,37.438994,140.927935
上羽鳥,37.451450,140.978560
松倉,37.455361,140.968082
寺沢,37.458774,140.960517
