let,num
塩,27
川,36
町,78
諏,2
訪,2
御,3
殿,1
場,3
遠,1
田,36
金,1
橋,1
常,3
世,1
熊,5
倉,6
新,5
合,4
松,5
山,16
村,2
字,128
西,11
籠,2
豊,6
米,2
室,1
桜,3
ガ,2
丘,4
沢,4
部,1
一,5
井,6
前,3
上,18
永,1
久,1
大,10
道,11
花,1
園,1
経,1
壇,1
盤,2
台,8
吉,3
沖,1
天,2
沼,2
都,12
蓬,1
莱,1
高,12
郷,11
羽,1
賀,2
夏,1
磐,1
見,2
岩,5
月,5
宮,10
津,4
関,8
柴,9
橿,1
野,2
下,10
入,1
付,3
喜,1
多,1
方,1
鳥,1
熱,7
加,8
納,7
相,2
青,1
葉,1
三,9
岡,2
飯,2
坂,1
木,8
幡,1
ノ,6
早,1
稲,3
谷,10
四,3
百,6
苅,10
北,3
東,5
雄,1
国,1
原,9
地,7
銭,1
越,1
巻,1
広,1
面,2
添,1
石,1
南,3
目,1
柳,2
清,6
水,7
中,10
二,1
本,3
畑,1
江,4
瀬,1
戸,2
蒔,1
梨,1
子,4
尻,2
条,1
六,2
枚,1
長,4
舞,2
惣,1
座,1
五,3
神,1
豆,1
登,1
寺,5
馬,1
荷,1
行,1
作,1
島,1
坪,2
小,5
落,1
屋,4
窪,1
府,1
根,1
源,2
太,3
敷,2
芦,1
勝,1
堂,2
ツ,1
免,3
額,1
さ,1
つ,1
き,1
が,2
向,3
梅,1
竹,1
細,1
平,1
林,1
緑,1
押,2
切,2
会,1
知,1
奈,1
慶,6
徳,6
科,1
端,1
千,4
砂,1
内,1
扇,1
七,1
満,1
古,1
市,1
番,1
帳,1
段,1
舘,1
通,1
船,1
茶,1
蝦,1
蟆,1
渕,1
家,1
舟,1
池,1
峯,1
揚,1
朝,1
