name,latitude,longitude
福島県,田村郡三春町
字天王下,37.443108,140.481139
字番組,37.434374,140.497676
滝,37.409347,140.499814
蛇石,37.399905,140.512274
根本,37.392715,140.502297
柴原,37.416637,140.496062
込木,37.425864,140.507579
字化粧坂,37.434107,140.495679
字南,37.440548,140.494787
御祭,37.464700,140.492137
字烏帽子石,37.447481,140.497954
字仁井,37.450542,140.498447
字六斗蒔,37.452267,140.496478
字六升蒔,37.447338,140.495337
字亀井,37.445103,140.497860
字大,37.442335,140.492584
字山中,37.439447,140.496339
字新,37.437100,140.495735
字番組頭,37.434217,140.497447
桜ケ丘,37.434176,140.498160
春沢,37.418462,140.478543
下舞木,37.420970,140.431357
北成田,37.479892,140.511945
七草木,37.476460,140.491082
楽内,37.431312,140.496270
貝山,37.427485,140.486756
鷹巣,37.419987,140.465018
上舞木,37.416737,140.446377
青石,37.503345,140.551821
富沢,37.493218,140.531907
樋渡,37.395233,140.510648
過足,37.382650,140.486136
狐田,37.393723,140.476853
春田,37.403023,140.485034
蛇沢,37.412656,140.482368
西方,37.405357,140.472579
斎藤,37.395019,140.456651
沼沢,37.405325,140.457815
字四軒丁,37.435324,140.498416
字深作,37.434496,140.518910
芹ケ沢,37.435016,140.512397
字永作,37.434885,140.506827
字赤坂,37.436161,140.505209
字八十内,37.433710,140.503326
字師範場,37.438215,140.501788
字弓,37.436655,140.498967
字栗林,37.439959,140.508002
字小滝,37.440565,140.503944
字大平,37.442324,140.502349
字清水,37.440611,140.499640
字清水畑,37.449171,140.501920
庄司,37.461512,140.537521
熊耳,37.448110,140.514261
南成田,37.467807,140.518456
実沢,37.483372,140.547644
字恵下越,37.434340,140.493291
字会下谷,37.438527,140.493473
字桜谷,37.439674,140.492427
字小金滝,37.440569,140.490937
字御免,37.439065,140.490042
字尼ケ谷,37.436738,140.491103
字北,37.444281,140.493430
字中,37.441211,140.487833
字北向,37.445166,140.490421
字日向,37.445961,140.489905
字渋池,37.446188,140.487518
字燕清水,37.445769,140.493092
字持合畑,37.447963,140.491704
字小浜海道,37.448196,140.488356
字馬場,37.436666,140.487675
字八幡,37.439282,140.484819
字雁木田,37.438296,140.481803
字山崎,37.438262,140.478418
字沼之倉,37.434896,140.473950
字大久保,37.437945,140.475092
字丈六,37.441645,140.484308
字鶴蒔田,37.441527,140.481465
八島台,37.447263,140.486276
字荒,37.444092,140.486722
字天王前,37.444529,140.482903
字鎌田前,37.441611,140.479069
担橋,37.448425,140.483305
字一本松,37.441569,140.474500
山田,37.430671,140.455155
字松橋,37.451728,140.491533
字樋ノ口,37.455312,140.489158
字四反田,37.451056,140.487154
字深田和,37.454861,140.485096
平沢,37.460507,140.476624
字四軒,37.435324,140.498416
