let,num
原,73
町,65
区,139
江,3
井,5
小,54
高,52
南,8
下,7
浦,3
行,1
津,1
水,1
谷,7
蛯,1
沢,7
耳,1
泉,3
福,1
岡,3
田,17
東,2
木,5
迫,1
大,10
女,1
場,3
浜,2
金,2
片,2
倉,3
馬,1
羽,1
北,11
鳩,2
鶴,1
甕,1
雫,1
萱,1
上,10
渋,2
佐,2
深,1
野,3
平,4
鹿,32
島,34
塩,1
崎,4
川,6
子,1
内,4
右,2
海,2
老,2
屋,3
形,2
栃,2
窪,2
橲,1
尻,1
角,2
部,1
村,1
塚,1
堤,1
神,2
山,4
根,1
和,2
房,1
本,4
仲,2
関,1
吉,1
名,1
西,3
藤,1
飯,1
草,1
富,1
米,1
々,1
益,1
矢,1
太,3
日,1
の,1
出,1
青,1
葉,1
二,1
見,3
陣,2
前,1
橋,1
牛,3
来,1
中,1
国,1
押,1
釜,1
桜,1
旭,1
錦,1
栄,1
三,1
越,1
戸,1
石,1
新,1
長,2
信,1
烏,1
あ,1
さ,1
ひ,1
垂,1
池,1
寺,1
河,1
永,2
浮,1
柚,1
渡,1
横,1
手,1
御,1
ケ,1
