name,latitude,longitude
福島県,双葉郡浪江町
藤橋,37.507154,140.992755
高瀬,37.483247,141.003782
樋渡,37.485560,140.990285
権現堂,37.495349,140.990008
牛渡,37.488412,140.997580
西台,37.501664,140.991699
棚塩,37.499470,141.031548
北幾世橋,37.499085,141.013416
室原,37.506726,140.925996
苅宿,37.505344,140.958561
加倉,37.497253,140.960747
酒田,37.505163,140.978972
川房,37.531031,140.862947
南津島,37.548248,140.754537
津島,37.569203,140.741150
赤宇木,37.576152,140.788480
中浜,37.470342,141.036018
両竹,37.468234,141.030880
請戸,37.480460,141.027356
幾世橋,37.490208,141.012183
酒井,37.477045,140.986468
谷津田,37.472102,140.969717
小野田,37.479984,140.958221
井手,37.460939,140.939359
小丸,37.466912,140.925619
大堀,37.475558,140.933638
川添,37.490186,140.975070
田尻,37.486674,140.953072
末森,37.485394,140.933335
立野,37.519186,140.936515
昼曽根,37.545854,140.846428
下津島,37.563967,140.764410
羽附,37.565191,140.701191
