name,latitude,longitude
福島県,二本松市
百目木,37.541324,140.613203
杉沢,37.514564,140.570473
初森,37.514895,140.525769
茂原,37.537151,140.640832
戸沢,37.573642,140.605152
下長折,37.580757,140.508524
成田,37.535770,140.498635
西勝田,37.549402,140.517830
作,37.568873,140.492437
明主内,37.574024,140.495983
大平中井,37.578854,140.493786
原セ山口,37.582037,140.379278
苗松,37.563652,140.364157
三雄山,37.571654,140.368587
大石ヶ作,37.576681,140.368520
箕輪,37.572304,140.377276
大坂,37.582811,140.366119
原セ上平,37.580620,140.375330
田沢,37.564784,140.651392
長折,37.577046,140.527452
太田,37.582610,140.554889
長下,37.588826,140.500636
小沢,37.621662,140.488820
下川崎,37.630126,140.516796
原セ才木,37.588852,140.374471
原セ仲谷地,37.585481,140.380800
原セ天ヶ作,37.587394,140.386491
原セ堰下,37.590393,140.388754
原セ日照田,37.586123,140.392488
高平,37.583368,140.401638
硯石,37.586536,140.409071
高越松ヶ作,37.584511,140.414177
成田日向,37.586274,140.419884
大壇,37.586108,140.423970
向原,37.585032,140.426642
金色,37.586640,140.431144
市海道,37.587663,140.435246
作田,37.585804,140.440643
冠木,37.586921,140.445604
上竹,37.588358,140.449409
平石高田,37.581693,140.458340
安達ヶ原,37.589028,140.460127
諸越谷,37.583495,140.463734
三合内,37.584385,140.468325
丑子内,37.588296,140.470087
西光内,37.585332,140.473434
上蓬田,37.586444,140.477108
蓬田,37.589724,140.481730
浅川,37.588890,140.487478
谷和子,37.584215,140.489639
中森,37.588084,140.490506
上川崎,37.604580,140.494935
上葉木坂,37.616664,140.373655
岳東,37.616604,140.363331
大根畑,37.629235,140.377033
沢松倉,37.640296,140.369403
休石原,37.634590,140.378020
萩坂,37.607758,140.372101
立石,37.600507,140.368411
才木山,37.591847,140.370700
岳温泉横森,37.586753,140.358893
小関,37.588799,140.350745
渋川,37.631459,140.445689
東新殿,37.533529,140.595883
西新殿,37.534661,140.561832
小浜,37.543141,140.504270
上太田,37.554890,140.559873
上長折,37.550248,140.535696
式部内,37.572431,140.499395
水上,37.580104,140.500428
大久保,37.533308,140.482761
五月,37.533563,140.474327
鈴石東,37.546271,140.486628
芹沢,37.538492,140.466918
昭和,37.545287,140.470155
南,37.542374,140.459109
田,37.549104,140.459565
錦,37.546206,140.452479
菅田,37.550934,140.430552
瀬ノ上,37.547410,140.425347
坊主滝,37.541202,140.419343
在師,37.542712,140.416618
竹柄,37.542000,140.413846
隠里,37.547491,140.414972
峠,37.545023,140.410264
八坂,37.555377,140.481838
遠山,37.562035,140.484868
堀越,37.564840,140.478281
米五,37.556991,140.475574
鈴石,37.551194,140.469635
新生,37.560553,140.469209
岡ノ内,37.566624,140.471652
平石,37.553992,140.463123
平石,37.555878,140.453127
小高内,37.561493,140.462416
沖,37.565996,140.461762
大,37.552881,140.443252
中,37.561358,140.453973
江口,37.557355,140.443254
南トロミ,37.563703,140.444784
水神,37.554256,140.434895
十神,37.554332,140.430632
前田,37.560204,140.437789
落合,37.559836,140.434265
杉田仲之内,37.557652,140.432576
諏訪原,37.562096,140.433701
岩崎,37.564660,140.431693
七ツ段,37.556144,140.427255
借宿,37.559967,140.429967
下,37.561645,140.428371
石ノ花,37.563525,140.427789
反返,37.566456,140.428154
片岸,37.565385,140.425272
向陽台,37.556701,140.423714
大沢,37.551201,140.420560
上平内,37.554466,140.415700
長者宮,37.560723,140.424313
反田,37.563097,140.422914
郡山台,37.557640,140.420798
成上,37.556204,140.417858
姫子松,37.560017,140.416805
中江,37.563193,140.416985
社前,37.566019,140.419083
薬師,37.552964,140.411816
西,37.555087,140.408751
東,37.559378,140.413297
住吉,37.554605,140.405038
杉田,37.562202,140.410301
長命,37.559768,140.405106
舘野,37.563735,140.396032
舘野原,37.565384,140.393066
橋本,37.576350,140.489680
松林,37.568511,140.482343
沼ヶ作,37.570476,140.475635
神明石,37.573656,140.481069
宮本,37.578197,140.484138
竹ノ内,37.579294,140.477561
太子堂,37.579374,140.473849
大稲場,37.571704,140.469665
木ノ崎,37.577075,140.466842
島ノ内,37.580556,140.470221
赤井沢,37.566907,140.452206
北トロミ,37.569855,140.444522
舟石,37.566967,140.436899
高田,37.582648,140.448341
宮戸,37.574264,140.443760
八万舘,37.577492,140.442734
下平,37.577261,140.438436
鐙摺石,37.580632,140.442927
向作田,37.583533,140.439440
舟形石,37.569519,140.434607
関,37.572703,140.440409
袋内,37.568195,140.431152
新林,37.569702,140.426162
遠西,37.571732,140.431185
舟形石山,37.573386,140.433421
下ノ内,37.577593,140.434907
唐谷山,37.573717,140.429022
不動,37.578475,140.433075
木藤次郎内,37.581583,140.437034
金色久保,37.584208,140.434149
