name,latitude,longitude
福島県,西白河郡矢吹町
平鉢,37.171970,140.366266
明新上,37.170859,140.402643
松房,37.172633,140.333237
清水塚,37.165132,140.332343
東長峰,37.175985,140.323786
根宿,37.171029,140.344945
中畑,37.171933,140.353563
国神,37.168093,140.361128
清林山,37.176303,140.370676
上の前,37.180499,140.370947
前久保,37.185363,140.371204
沢尻,37.191450,140.374829
白山,37.202700,140.376437
寺の前,37.192185,140.364155
本城舘,37.210692,140.371602
中丸,37.218972,140.360832
天開,37.218164,140.379841
上敷面,37.157091,140.339578
諏訪清水,37.150487,140.335734
松倉,37.156991,140.328332
明新中,37.175715,140.404365
明新下,37.180581,140.402209
明新原,37.176339,140.396398
貝の久保,37.180718,140.384805
明新東,37.181487,140.406745
中野目西,37.186184,140.394265
東堤,37.185396,140.387852
神の内,37.182180,140.378858
堤,37.188469,140.381085
神田西,37.198566,140.384144
谷中,37.203450,140.393939
奉行塚,37.204581,140.388833
中沖,37.210204,140.389743
東川原,37.213613,140.393424
三城目,37.211908,140.384665
陣ケ岡,37.219049,140.393761
寺内南,37.176673,140.358463
住吉,37.186547,140.365609
大畑,37.191119,140.359586
寺内,37.187386,140.359098
鍋内,37.184749,140.346767
大久保,37.183016,140.337331
文京,37.190801,140.344234
弥栄,37.185378,140.327615
田,37.188317,140.319210
八幡,37.193444,140.332204
新,37.196121,140.318923
西長峰,37.181004,140.312642
五本松,37.183948,140.304827
大和内,37.190658,140.312229
北浦,37.196831,140.311071
川原,37.199211,140.306119
赤沢,37.193689,140.302167
下宮崎,37.198785,140.365641
前田,37.203936,140.361427
上宮崎,37.199144,140.358590
諏訪の前,37.199092,140.351608
花の里,37.207545,140.362178
丸の内,37.208777,140.355869
東郷,37.209450,140.345879
一本木,37.200905,140.342201
曙,37.200873,140.330102
小松,37.205699,140.331960
中,37.203238,140.325077
善郷内,37.211360,140.336221
本,37.207956,140.326195
北,37.214226,140.327498
花咲,37.201966,140.313250
大,37.202949,140.318862
舘沢,37.209385,140.319047
滝八幡,37.214640,140.320713
井戸尻,37.207929,140.309747
堰の上,37.206712,140.299964
牡丹平,37.214365,140.358292
大池,37.216988,140.337310
南,37.220433,140.310826
東の内,37.217684,140.299595
本郷,37.226753,140.308627
田内,37.221893,140.294110
子ハ清水,37.221737,140.286009
境,37.232407,140.305582
