let,num
川,222
間,19
之,60
青,11
柳,47
赤,19
池,31
洞,81
ケ,77
茜,11
部,21
大,178
野,213
新,89
神,108
清,35
寺,52
屋,97
敷,17
中,119
島,108
瀬,57
本,75
郷,49
沢,23
津,131
芥,16
見,76
海,53
戸,57
山,172
水,20
若,22
畑,26
長,93
東,129
堀,16
田,286
町,773
南,88
朝,31
日,77
安,19
天,21
崎,25
良,71
台,28
生,69
ノ,32
上,175
石,56
谷,66
切,17
原,158
泉,50
市,30
橋,20
一,29
松,46
道,18
伊,16
波,14
通,26
北,61
西,139
稲,15
木,81
今,22
小,120
入,12
岩,41
井,53
栄,30
倉,35
滝,11
坂,57
地,31
鵜,21
佐,28
越,14
梅,17
河,47
園,15
永,11
楽,12
江,46
口,35
富,22
場,43
桐,11
丘,52
桜,25
緑,17
宮,88
奥,24
熊,20
御,14
杉,12
塚,14
花,19
月,16
森,37
春,17
門,30
金,42
岡,80
横,13
加,158
納,69
手,26
平,53
広,20
黒,17
寿,14
城,18
明,41
高,80
陽,11
徳,12
丸,33
二,15
八,63
幡,47
前,48
内,27
三,63
笠,19
村,18
矢,13
久,38
和,63
太,22
尻,11
吉,31
竹,19
土,20
色,15
柿,11
ツ,13
十,22
下,107
住,17
宝,35
保,26
光,17
向,12
米,12
近,12
早,12
桑,18
正,28
白,38
須,27
賀,24
千,14
曽,14
福,45
尾,52
多,12
浦,11
代,13
外,21
出,16
有,13
子,13
志,11
古,71
改,11
の,19
荘,27
六,20
武,13
林,12
羽,17
蜂,11
鼻,12
深,11
美,26
条,18
里,18
茂,17
元,12
根,60
浅,13
渕,11
方,22
馬,28
牧,15
岐,15
俣,13
鳥,25
飯,11
合,32
名,23
飛,18
騨,13
温,14
々,21
国,23
府,26
丹,31
沼,26
濃,21
萩,20
並,12
蘇,45
那,74
汲,13
