let,num
藍,1
川,20
間,2
之,4
青,2
柳,33
赤,2
池,7
洞,30
ケ,12
県,6
茜,11
部,11
大,41
野,34
新,17
所,1
神,14
清,8
寺,13
辰,1
屋,31
敷,6
中,32
島,33
瀬,5
菱,2
本,21
郷,10
秋,3
沢,6
津,24
芥,16
見,25
退,1
船,1
海,4
戸,5
山,35
影,1
水,8
嵯,1
峨,1
般,1
若,7
畑,8
長,52
東,48
堀,5
田,73
町,26
南,29
曙,1
朝,3
霧,1
日,12
安,5
食,1
宅,1
吾,1
妻,1
天,6
雨,2
踊,1
尼,1
崎,4
荒,1
良,47
粟,3
台,4
庵,1
生,6
ノ,14
上,26
石,9
谷,10
切,2
原,8
泉,2
市,12
坪,2
橋,4
一,10
番,3
松,15
道,9
伊,5
奈,5
波,8
通,16
北,29
西,50
稲,2
荷,2
茨,1
木,20
吹,3
今,6
小,7
嶺,2
芋,1
入,2
舟,2
岩,18
井,10
栄,11
倉,4
滝,1
坂,8
地,4
利,1
魚,1
鵜,2
鴬,2
宇,2
佐,8
打,1
越,2
靱,1
梅,10
枝,3
河,6
園,7
雲,5
竜,5
扇,1
永,4
楽,4
江,16
口,12
添,1
戎,1
老,3
落,1
蔵,2
菅,3
富,10
縄,1
場,16
柏,1
桐,1
が,3
丘,7
桜,8
緑,3
紅,1
葉,2
宮,16
脇,1
沖,1
奥,3
熊,2
御,5
杉,5
織,2
塚,6
浪,2
雄,4
総,4
折,1
立,3
鏡,5
精,1
華,4
鍵,3
学,2
花,8
月,4
主,1
梶,1
鹿,1
粕,1
森,9
春,3
霞,1
門,9
勢,1
引,1
溝,9
香,2
取,1
金,10
岡,2
横,1
加,65
納,63
藤,4
愛,1
宕,1
手,10
平,5
広,6
沓,1
黒,5
寿,3
城,10
明,11
鷹,3
匠,1
高,16
鉄,1
砲,1
陽,6
徳,2
刀,1
丸,20
二,3
八,10
幡,3
士,1
伏,1
前,12
内,1
三,14
笠,3
車,1
村,6
矢,4
興,3
蕪,1
釜,3
久,5
和,5
太,12
材,3
尻,4
毛,4
吉,4
竹,5
茶,3
土,3
居,3
室,3
萱,4
端,3
祇,1
菊,4
如,1
色,4
鶉,6
柿,2
唐,2
阿,1
ツ,4
造,1
祈,2
年,3
十,2
下,18
京,1
玉,5
姓,1
住,7
宝,4
楠,1
保,4
栗,1
啓,1
運,1
槻,1
光,9
樹,1
渡,2
幸,2
向,3
蘭,1
九,1
重,1
椎,1
五,2
反,1
琴,1
此,1
挽,1
米,2
廩,1
望,2
コ,1
モ,1
ン,2
ヒ,1
ル,1
ズ,1
権,1
現,1
近,2
後,1
境,1
鷺,3
笹,1
早,7
苗,1
塩,1
静,1
渋,1
飼,1
桑,5
鴻,1
正,7
法,2
昭,1
白,4
銀,1
甚,1
衛,4
開,1
瑞,2
末,1
須,1
賀,3
駿,1
諏,2
訪,2
千,7
堂,3
畳,2
曽,1
我,1
工,1
福,17
仏,1
尾,1
砂,3
巣,1
裡,1
多,1
達,2
目,5
陰,1
郎,9
浦,3
知,1
旦,5
忠,2
節,2
丁,3
者,1
代,3
司,1
会,2
椿,1
爪,3
鶴,3
舞,1
堤,2
外,3
力,2
徹,1
出,3
王,1
右,3
常,1
盤,1
殿,3
豊,1
洲,1
旗,2
細,5
葵,1
有,2
路,2
用,1
碧,1
校,2
文,1
子,2
志,1
段,1
妙,1
真,3
乃,1
仙,1
友,1
古,9
次,1
畷,1
改,11
の,2
先,2
夏,1
七,3
錦,1
駒,2
荘,8
六,7
布,1
則,4
武,3
林,3
羽,2
衣,1
詰,1
蜂,1
初,2
音,1
鼻,1
万,3
板,1
置,1
彦,3
軒,1
雛,1
雀,2
旭,1
深,1
迎,1
不,1
動,1
弁,1
来,1
寄,1
交,1
人,1
益,1
又,7
風,2
美,4
呂,1
穂,1
童,1
洗,1
歳,1
湊,1
蝉,1
条,10
四,2
都,1
輪,4
ぷ,1
り,1
ん,1
と,1
ぴ,1
あ,1
里,1
茂,1
元,4
浜,1
守,1
薬,1
師,1
蓮,1
流,1
セ,1
タ,1
ー,1
弥,2
薮,3
夕,1
雪,1
養,1
葭,1
世,3
隆,1
領,1
片,1
問,2
根,1
